Periodo de Cobertura,Year,Month,Total general_cotizantes,Total Región Distrito Nacional_cotizantes,Total 0 - Santo Domingo_cotizantes,Total Región Este_cotizantes,Total V - Este_cotizantes,Total Región Norte_cotizantes,Total II - Norcentral_cotizantes,Total III - Nordeste_cotizantes,Total VII - Cibao Occidental_cotizantes,Total VIII - Cibao Central_cotizantes,Total Región Sur_cotizantes,Total I - Valdesia_cotizantes,Total IV - Enriquillo_cotizantes,Total VI - El Valle_cotizantes,Total general_nocotizantes,Total Región Distrito Nacional_nocotizantes,Total 0 - Santo Domingo_nocotizantes,Total Región Este_nocotizantes,Total V - Este_nocotizantes,Total Región Norte_nocotizantes,Total II - Norcentral_nocotizantes,Total III - Nordeste_nocotizantes,Total VII - Cibao Occidental_nocotizantes,Total VIII - Cibao Central_nocotizantes,Total Región Sur_nocotizantes,Total I - Valdesia_nocotizantes,Total IV - Enriquillo_nocotizantes,Total VI - El Valle_nocotizantes,Total general,Total Región Distrito Nacional,Total 0 - Santo Domingo,Total Región Este,Total V - Este,Total Región Norte,Total II - Norcentral,Total III - Nordeste,Total VII - Cibao Occidental,Total VIII - Cibao Central,Total Región Sur,Total I - Valdesia,Total IV - Enriquillo,Total VI - El Valle
2015-07-01,2015,7,1558424,532712,532712,110503,110503,349022,196009,55400,34701,62912,126303,64065,26238,36000,1729750,704057,704057,159134,159134,554173,296137,94928,55859,107249,200694,100871,41753,58070,3288174,1236769,1236769,269637,269637,903195,492146,150328,90560,170161,326997,164936,67991,94070
2015-08-01,2015,8,1562783,537129,537129,111699,111699,349784,196862,54718,34707,63497,126452,64041,26073,36338,1741298,709025,709025,161394,161394,557172,297225,95814,55970,108163,201702,101104,42062,58536,3304081,1246154,1246154,273093,273093,906956,494087,150532,90677,171660,328154,165145,68135,94874
2015-09-01,2015,9,1554147,534051,534051,110466,110466,346225,194127,54897,34205,62996,125855,63641,26119,36095,1743775,709681,709681,161542,161542,558037,297589,95594,56140,108714,202375,101114,42247,59014,3297922,1243732,1243732,272008,272008,904262,491716,150491,90345,171710,328230,164755,68366,95109
2015-10-01,2015,10,1578705,541033,541033,110826,110826,352034,197201,55878,34890,64065,128649,65032,26730,36887,1757025,716003,716003,162352,162352,562713,300278,96405,56392,109638,203906,102114,42416,59376,3335730,1257036,1257036,273178,273178,914747,497479,152283,91282,173703,332555,167146,69146,96263
2015-11-01,2015,11,1592092,546408,546408,111417,111417,355331,198239,56749,35160,65183,129993,65793,26883,37317,1760607,717730,717730,162904,162904,563597,300388,96737,56311,110161,204932,102348,42738,59846,3352699,1264138,1264138,274321,274321,918928,498627,153486,91471,175344,334925,168141,69621,97163
2015-12-01,2015,12,1590486,549368,549368,111576,111576,354978,197417,57006,35092,65463,130570,66478,26743,37349,1749352,712065,712065,161014,161014,562055,299772,96330,56137,109816,204192,101918,42574,59700,3339838,1261433,1261433,272590,272590,917033,497189,153336,91229,175279,334762,168396,69317,97049
2016-01-01,2016,1,1599437,552893,552893,113415,113415,355566,197540,57027,35279,65720,130961,66407,27038,37516,1764431,718470,718470,163908,163908,565782,300739,97346,56768,110929,206278,102887,42740,60651,3363868,1271363,1271363,277323,277323,921348,498279,154373,92047,176649,337239,169294,69778,98167
2016-02-01,2016,2,1595386,551516,551516,113522,113522,354669,196893,57257,35233,65286,130370,65687,27115,37568,1780045,723161,723161,165463,165463,570682,304313,97799,57321,111249,208379,103941,43333,61105,3375431,1274677,1274677,278985,278985,925351,501206,155056,92554,176535,338749,169628,70448,98673
2016-03-01,2016,3,1652491,584364,584364,115925,115925,364158,201952,58783,36373,67050,136597,67966,28786,39845,1807390,740955,740955,167501,167501,575533,305784,99069,58004,112676,211915,105142,44435,62338,3459881,1325319,1325319,283426,283426,939691,507736,157852,94377,179726,348512,173108,73221,102183
2016-04-01,2016,4,1657142,584401,584401,115959,115959,366484,203491,59051,36424,67518,135308,67392,28664,39252,1816638,745250,745250,167858,167858,580143,308409,99687,58276,113771,212119,104699,44719,62701,3473780,1329651,1329651,283817,283817,946627,511900,158738,94700,181289,347427,172091,73383,101953
2016-05-01,2016,5,1669320,589076,589076,116709,116709,370384,205910,59585,36836,68053,136706,68315,28952,39439,1833165,753484,753484,169863,169863,584853,311023,100340,58883,114607,214653,105836,45586,63231,3502485,1342560,1342560,286572,286572,955237,516933,159925,95719,182660,351359,174151,74538,102670
2016-06-01,2016,6,1665658,588865,588865,116042,116042,369153,203895,59892,36812,68554,137058,68592,28940,39526,1835056,753654,753654,170138,170138,585906,310438,100963,59070,115435,214959,105714,45692,63553,3500714,1342519,1342519,286180,286180,955059,514333,160855,95882,183989,352017,174306,74632,103079
2016-07-01,2016,7,1679321,592517,592517,117489,117489,372322,207178,59713,36915,68516,137640,69251,28774,39615,1859573,762455,762455,172923,172923,594747,316259,102205,59571,116712,218106,107712,46009,64385,3538894,1354972,1354972,290412,290412,967069,523437,161918,96486,185228,355746,176963,74783,104000
2016-08-01,2016,8,1674386,593451,593451,117315,117315,369942,205322,59565,36932,68123,137510,69406,28275,39829,1864357,766743,766743,173335,173335,593296,314818,101897,59787,116794,218941,107935,46264,64742,3538743,1360194,1360194,290650,290650,963238,520140,161462,96719,184917,356451,177341,74539,104571
2016-09-01,2016,9,1682937,597241,597241,118600,118600,373417,207690,59621,37054,69052,138365,69747,28694,39924,1882499,773853,773853,175181,175181,599940,319029,102422,60384,118105,221576,108918,46846,65812,3565436,1371094,1371094,293781,293781,973357,526719,162043,97438,187157,359941,178665,75540,105736
2016-10-01,2016,10,1694688,601911,601911,119315,119315,374968,207895,59975,37612,69486,140078,70658,29007,40413,1888321,775740,775740,175845,175845,601981,320119,102807,60589,118466,222349,109217,46899,66233,3583009,1377651,1377651,295160,295160,976949,528014,162782,98201,187952,362427,179875,75906,106646
2016-11-01,2016,11,1692165,602057,602057,119724,119724,376323,208470,60425,37817,69611,139764,70682,28823,40259,1882483,774313,774313,174695,174695,601317,319418,102708,60357,118834,221175,108507,46790,65878,3574648,1376370,1376370,294419,294419,977640,527888,163133,98174,188445,360939,179189,75613,106137
2016-12-01,2016,12,1704098,608265,608265,121342,121342,377865,208745,60779,38119,70222,141429,72024,28961,40444,1887190,776420,776420,175444,175444,602940,320607,102871,60798,118664,222208,109377,46820,66011,3591288,1384685,1384685,296786,296786,980805,529352,163650,98917,188886,363637,181401,75781,106455
2017-01-01,2017,1,1715960,612294,612294,124114,124114,378527,208244,61273,38346,70664,142410,72240,29250,40920,1881980,773531,773531,175535,175535,601547,318982,103114,60662,118789,222599,109254,47100,66245,3597940,1385825,1385825,299649,299649,980074,527226,164387,99008,189453,365009,181494,76350,107165
2017-02-01,2017,2,1716821,612631,612631,124887,124887,379654,208829,61370,38587,70868,142454,72268,29227,40959,1907954,781683,781683,177993,177993,608378,323310,103869,61307,119892,224360,110339,47417,66604,3624775,1394314,1394314,302880,302880,988032,532139,165239,99894,190760,366814,182607,76644,107563
2017-03-01,2017,3,1731027,615823,615823,125848,125848,384178,211510,62275,39249,71144,144097,73358,29503,41236,1920683,785327,785327,179471,179471,611252,323877,105098,62026,120251,225695,110989,47646,67060,3651710,1401150,1401150,305319,305319,995430,535387,167373,101275,191395,369792,184347,77149,108296
2017-04-01,2017,4,1788977,646152,646152,127440,127440,390910,214569,63404,40450,72487,149886,74364,31911,43611,1940152,793539,793539,180911,180911,617170,327155,106003,62757,121255,228164,112012,48154,67998,3729129,1439691,1439691,308351,308351,1008080,541724,169407,103207,193742,378050,186376,80065,111609
2017-05-01,2017,5,1811612,656957,656957,128502,128502,393999,215385,64140,41048,73426,153462,76245,32520,44697,1964591,804629,804629,182878,182878,624160,330641,106829,63813,122877,232095,113420,49236,69439,3776203,1461586,1461586,311380,311380,1018159,546026,170969,104861,196303,385557,189665,81756,114136
2017-06-01,2017,6,1812549,656570,656570,128359,128359,393185,215052,64170,40747,73216,153049,75907,32561,44581,1980349,813733,813733,183757,183757,627436,332087,107626,64422,123301,235894,114701,50450,70743,3792898,1470303,1470303,312116,312116,1020621,547139,171796,105169,196517,388943,190608,83011,115324
2017-07-01,2017,7,1825985,660102,660102,128979,128979,396494,216687,64577,41092,74138,154038,76706,32527,44805,2001617,823620,823620,185300,185300,633024,334122,108760,65120,125022,239573,116154,51651,71768,3827602,1483722,1483722,314279,314279,1029518,550809,173337,106212,199160,393611,192860,84178,116573
2017-08-01,2017,8,1814337,655061,655061,129594,129594,394248,216545,63584,40775,73344,152846,76425,32109,44312,2013249,829137,829137,185871,185871,634959,335267,108597,65497,125598,241957,117300,52070,72587,3827586,1484198,1484198,315465,315465,1029207,551812,172181,106272,198942,394803,193725,84179,116899
2017-09-01,2017,9,1822531,659424,659424,128752,128752,395515,216451,64057,41012,73995,152612,75846,32222,44544,2014149,829464,829464,187624,187624,635122,335145,108321,65878,125778,241614,116804,51841,72969,3836680,1488888,1488888,316376,316376,1030637,551596,172378,106890,199773,394226,192650,84063,117513
2017-10-01,2017,10,1827016,659663,659663,131063,131063,396361,216774,64407,41187,73993,153081,75874,32559,44648,2014647,831720,831720,186112,186112,634750,334581,108468,66077,125624,242303,116616,52331,73356,3841663,1491383,1491383,317175,317175,1031111,551355,172875,107264,199617,395384,192490,84890,118004
2017-11-01,2017,11,1838822,663981,663981,134416,134416,396947,216591,64883,41319,74154,155231,77545,32670,45016,2028911,838197,838197,187610,187610,640014,336736,109756,66757,126765,245190,117999,53021,74170,3867733,1502178,1502178,322026,322026,1036961,553327,174639,108076,200919,400421,195544,85691,119186
2017-12-01,2017,12,1863692,670451,670451,138372,138372,399713,217600,65344,41596,75173,156379,77892,33139,45348,2038900,842576,842576,188725,188725,643082,338914,110032,66999,127137,246284,118408,53277,74599,3902592,1513027,1513027,327097,327097,1042795,556514,175376,108595,202310,402663,196300,86416,119947
2018-01-01,2018,1,1857920,670594,670594,135180,135180,398968,217468,65247,41579,74674,156427,77817,33250,45360,2043148,845376,845376,189781,189781,642872,337665,110042,67136,128029,247723,118914,53796,75013,3901068,1515970,1515970,324961,324961,1041840,555133,175289,108715,202703,404150,196731,87046,120373
2018-02-01,2018,2,1854925,669049,669049,134995,134995,399851,217926,65872,41747,74306,156266,77879,33385,45002,2054303,848765,848765,189699,189699,647461,341102,111054,67609,127696,249559,119472,54512,75575,3909228,1517814,1517814,324694,324694,1047312,559028,176926,109356,202002,405825,197351,87897,120577
2018-03-01,2018,3,1877249,675263,675263,136528,136528,405094,220503,66586,42356,75649,157827,78755,33581,45491,2040710,844430,844430,189072,189072,644409,337717,110835,67854,128003,249287,119427,54298,75562,3917959,1519693,1519693,325600,325600,1049503,558220,177421,110210,203652,407114,198182,87879,121053
2018-04-01,2018,4,1894026,680439,680439,137879,137879,409448,223038,67159,42790,76461,159003,79348,33828,45827,2092672,865373,865373,194308,194308,658536,345279,113135,69379,130743,254469,122030,55392,77047,3986698,1545812,1545812,332187,332187,1067984,568317,180294,112169,207204,413472,201378,89220,122874
2018-05-01,2018,5,1896726,681514,681514,138150,138150,410777,223941,67213,42967,76656,159286,79625,33987,45674,2099845,867839,867839,195161,195161,661093,346885,113218,69923,131067,255106,122195,55714,77197,3996571,1549353,1549353,333311,333311,1071870,570826,180431,112890,207723,414392,201820,89701,122871
2018-06-01,2018,6,1912414,687187,687187,138300,138300,414349,225554,68155,43470,77170,160637,80203,34259,46175,2119709,876043,876043,197064,197064,666714,348746,114856,70826,132286,257800,123719,56302,77779,4032123,1563230,1563230,335364,335364,1081063,574300,183011,114296,209456,418437,203922,90561,123954
2018-07-01,2018,7,1919819,690112,690112,138747,138747,416678,227041,68483,43775,77379,161473,80639,34198,46636,2134339,881488,881488,197995,197995,671240,351768,115338,71274,132860,259927,124698,56781,78448,4054158,1571600,1571600,336742,336742,1087918,578809,183821,115049,210239,421400,205337,90979,125084
2018-08-01,2018,8,1924675,693138,693138,138726,138726,417904,227619,68711,43863,77711,161608,80493,34233,46882,2110225,874061,874061,195093,195093,664919,347305,114429,70962,132223,258469,123821,56428,78220,4034900,1567199,1567199,333819,333819,1082823,574924,183140,114825,209934,420077,204314,90661,125102
2018-09-01,2018,9,1933597,696736,696736,137906,137906,419557,228423,69030,43834,78270,162290,80839,34369,47082,2150289,889614,889614,199741,199741,674462,352158,116257,71863,134184,262505,125788,57257,79460,4083886,1586350,1586350,337647,337647,1094019,580581,185287,115697,212454,424795,206627,91626,126542
2018-10-01,2018,10,1935394,697688,697688,137730,137730,421809,230077,69000,44089,78643,162431,80507,34543,47381,2160234,893900,893900,199021,199021,678982,354555,116700,72571,135156,264536,126275,58034,80227,4095628,1591588,1591588,336751,336751,1100791,584632,185700,116660,213799,426967,206782,92577,127608
2018-11-01,2018,11,1957492,706304,706304,138519,138519,427445,233008,70273,44844,79320,164034,81094,34910,48030,2179063,901128,901128,199893,199893,684506,357530,117725,73363,135888,266211,126652,58522,81037,4136555,1607432,1607432,338412,338412,1111951,590538,187998,118207,215208,430245,207746,93432,129067
2018-12-01,2018,12,1969847,711342,711342,139474,139474,430045,234079,70963,45128,79875,165787,82009,35283,48495,2184140,902117,902117,200030,200030,686422,358632,117849,73800,136141,267034,127042,58507,81485,4153987,1613459,1613459,339504,339504,1116467,592711,188812,118928,216016,432821,209051,93790,129980
2019-01-01,2019,1,1971943,714748,714748,141786,141786,427496,232428,70658,45137,79273,165796,81957,35411,48428,2183823,902214,902214,200623,200623,685116,357530,117619,73885,136082,267348,127124,58761,81463,4155766,1616962,1616962,342409,342409,1112612,589958,188277,119022,215355,433144,209081,94172,129891
2019-02-01,2019,2,1977661,715679,715679,142700,142700,429662,234370,70390,45124,79778,165556,81917,35374,48265,2196485,906340,906340,202439,202439,689816,361246,117910,74011,136649,268320,127432,59098,81790,4174146,1622019,1622019,345139,345139,1119478,595616,188300,119135,216427,433876,209349,94472,130055
2019-03-01,2019,3,1993660,720591,720591,143582,143582,436753,238418,71909,45694,80732,167060,82630,35477,48953,2212858,912361,912361,203475,203475,695276,363833,119156,74629,137658,270836,128703,59401,82732,4206518,1632952,1632952,347057,347057,1132029,602251,191065,120323,218390,437896,211333,94878,131685
2019-04-01,2019,4,2004309,724155,724155,145505,145505,442516,240603,73472,46444,81997,170789,83495,36403,50891,2218872,913586,913586,204679,204679,698527,365022,120319,74877,138309,271917,128843,59766,83308,4223181,1637741,1637741,350184,350184,1141043,605625,193791,121321,220306,442706,212338,96169,134199
2019-05-01,2019,5,2005816,517188,517188,199948,199948,684646,301588,138994,90875,153189,380167,140446,88171,151550,2211535,712751,712751,228186,228186,777659,389314,142240,84108,161997,317889,143553,70163,104173,4217351,1229939,1229939,428134,428134,1462305,690902,281234,174983,315186,698056,283999,158334,255723
2019-06-01,2019,6,2014677,520776,520776,200231,200231,685346,302552,138948,91027,152819,380727,140699,88205,151823,2219130,709891,709891,228052,228052,775200,387905,141650,84068,161577,317267,142487,70152,104628,4233807,1230667,1230667,428283,428283,1460546,690457,280598,175095,314396,697994,283186,158357,256451
2019-07-01,2019,7,2017912,523276,523276,199771,199771,684015,301753,139078,91051,152133,379714,140284,87900,151530,2228967,708436,708436,227597,227597,773371,386710,141784,84138,160739,317654,142727,69656,105271,4246879,1231712,1231712,427368,427368,1457386,688463,280862,175189,312872,697368,283011,157556,256801
2019-08-01,2019,8,2023261,526855,526855,198081,198081,685149,302897,139122,90766,152364,379696,139903,88218,151575,2240406,707028,707028,226932,226932,772109,385952,141705,83817,160635,317482,141413,69871,106198,4263667,1233883,1233883,425013,425013,1457258,688849,280827,174583,312999,697178,281316,158089,257773
2019-09-01,2019,9,2031616,530995,530995,198166,198166,686556,304053,139067,90794,152642,379357,140181,87983,151193,2247534,704920,704920,226050,226050,769613,384562,141214,83719,160118,317634,141597,69613,106424,4279150,1235915,1235915,424216,424216,1456169,688615,280281,174513,312760,696991,281778,157596,257617
2019-10-01,2019,10,2037310,534619,534619,197652,197652,686275,304194,139247,90637,152197,379554,140359,88015,151180,2248927,702302,702302,224136,224136,766750,383478,141060,83388,158824,316860,140482,69391,106987,4286237,1236921,1236921,421788,421788,1453025,687672,280307,174025,311021,696414,280841,157406,258167
2019-11-01,2019,11,2045932,540969,540969,196637,196637,686054,303726,139322,90742,152264,380450,140605,88310,151535,2254366,699848,699848,222524,222524,762255,380749,140848,82844,157814,316338,139792,69253,107293,4300298,1240817,1240817,419161,419161,1448309,684475,280170,173586,310078,696788,280397,157563,258828
2019-12-01,2019,12,1988233,539068,539068,193454,193454,652086,290257,130788,85359,145682,371194,136352,86409,148433,2240428,693554,693554,219446,219446,751019,376252,138879,80997,154891,312823,137341,68617,106865,4228661,1232622,1232622,412900,412900,1403105,666509,269667,166356,300573,684017,273693,155026,255298
2020-01-01,2020,1,2026522,543270,543270,196769,196769,668033,296022,135809,87954,148248,375751,138589,87843,149319,2239870,691123,691123,219483,219483,742033,370834,136842,80858,153499,314145,137761,68887,107497,4266392,1234393,1234393,416252,416252,1410066,666856,272651,168812,301747,689896,276350,156730,256816
2020-02-01,2020,2,2024980,543750,543750,197259,197259,666377,295285,135324,87467,148301,374765,138360,87475,148930,2244029,688492,688492,218818,218818,739691,369880,135917,80564,153330,313174,137042,68541,107591,4269009,1232242,1232242,416077,416077,1406068,665165,271241,168031,301631,687939,275402,156016,256521
2020-03-01,2020,3,2034994,545957,545957,198110,198110,668414,297134,135033,88084,148163,376867,139389,87958,149520,2255760,689888,689888,219006,219006,736754,368301,134823,80309,153321,314813,137487,68785,108541,4290754,1235845,1235845,417116,417116,1405168,665435,269856,168393,301484,691680,276876,156743,258061
2020-04-01,2020,4,1883962,505207,505207,185288,185288,617618,275411,123722,81431,137054,350955,129401,82687,138867,2119976,645690,645690,208632,208632,690763,345688,125990,74842,144243,298156,129112,65945,103099,4003938,1150897,1150897,393920,393920,1308381,621099,249712,156273,281297,649111,258513,148632,241966
2020-05-01,2020,5,1456151,403266,403266,131799,131799,446288,180039,97341,62358,106550,293548,107487,70860,115201,2577204,765682,765682,254269,254269,870778,439599,156707,94608,179864,360476,151458,79048,129970,4033355,1168948,1168948,386068,386068,1317066,619638,254048,156966,286414,654024,258945,149908,245171
2020-06-01,2020,6,1488437,406139,406139,125963,125963,473183,196845,100666,66658,109014,296930,109428,70836,116666,2666028,791015,791015,267794,267794,890861,446249,162407,96538,185667,370924,156195,81633,133096,4154465,1197154,1197154,393757,393757,1364044,643094,263073,163196,294681,667854,265623,152469,249762
2020-07-01,2020,7,1693498,456546,456546,143870,143870,558709,240694,114609,76570,126836,326636,121926,76406,128304,2495054,746119,746119,253126,253126,813589,407663,149649,87578,168699,345070,146284,76453,122333,4188552,1202665,1202665,396996,396996,1372298,648357,264258,164148,295535,671706,268210,152859,250637
2020-08-01,2020,8,1756207,475502,475502,149749,149749,582671,253952,118306,78906,131507,335351,125618,78145,131588,2395201,718532,718532,230666,230666,781548,393180,142366,84544,161458,331546,141925,73108,116513,4151408,1194034,1194034,380415,380415,1364219,647132,260672,163450,292965,666897,267543,151253,248101
2020-09-01,2020,9,1745176,480381,480381,145984,145984,575133,253581,114025,76830,130697,332770,124089,77878,130803,2402646,723179,723179,230669,230669,774229,390523,139384,82827,161495,332444,142626,73153,116665,4147822,1203560,1203560,376653,376653,1349362,644104,253409,159657,292192,665214,266715,151031,247468
2020-10-01,2020,10,1791514,488963,488963,150211,150211,598322,263013,121411,79783,134115,336916,126705,78334,131877,2392213,717217,717217,220655,220655,775076,389288,141388,84297,160103,328362,140597,72347,115418,4183727,1206180,1206180,370866,370866,1373398,652301,262799,164080,294218,665278,267302,150681,247295
2020-11-01,2020,11,1787700,496945,496945,149428,149428,590472,261806,118881,78220,131565,334744,125891,77725,131128,2347006,740964,740964,211454,211454,742255,375896,134056,79181,153122,316498,136721,70132,109645,4134706,1237909,1237909,360882,360882,1332727,637702,252937,157401,284687,651242,262612,147857,240773
2020-12-01,2020,12,1835672,513868,513868,153539,153539,607652,270836,121678,79912,135226,337489,127277,78521,131691,2379231,745550,745550,214226,214226,753337,380318,136637,80810,155572,317950,137974,70547,109429,4214903,1259418,1259418,367765,367765,1360989,651154,258315,160722,290798,655439,265251,149068,241120
2021-01-01,2021,1,1826674,518976,518976,157798,157798,594307,265984,119402,77185,131736,330622,125818,76715,128089,2291134,702678,702678,205116,205116,725598,362815,133110,78862,150811,312840,135057,69620,108163,4117808,1221654,1221654,362914,362914,1319905,628799,252512,156047,282547,643462,260875,146335,236252
2021-02-01,2021,2,1844114,527488,527488,157543,157543,599999,268990,119591,77879,133539,330371,125925,76838,127608,2101767,636833,636833,180398,180398,664889,332467,121757,71827,138838,281424,123869,60989,96566,3945881,1164321,1164321,337941,337941,1264888,601457,241348,149706,272377,611795,249794,137827,224174
2021-03-01,2021,3,1885997,546011,546011,159662,159662,612749,277642,121268,79240,134599,333882,127557,77531,128794,2131398,644162,644162,181672,181672,668532,335417,121992,72487,138636,283881,124412,61546,97923,4017395,1190173,1190173,341334,341334,1281281,613059,243260,151727,273235,617763,251969,139077,226717
2021-04-01,2021,4,1883204,556856,556856,160703,160703,602370,276303,115728,77216,133123,331648,125891,77385,128372,2135170,647143,647143,181767,181767,665093,335250,121270,71096,137477,281619,121948,61504,98167,4018374,1203999,1203999,342470,342470,1267463,611553,236998,148312,270600,613267,247839,138889,226539
2021-05-01,2021,5,1919585,569977,569977,165850,165850,613404,279848,119917,78217,135422,333736,127460,77585,128691,2166429,657274,657274,186091,186091,669559,338152,120670,71328,139409,283717,123562,61387,98768,4086014,1227251,1227251,351941,351941,1282963,618000,240587,149545,274831,617453,251022,138972,227459
2021-06-01,2021,6,1949615,585624,585624,168083,168083,619518,283586,120888,79022,136022,336281,129418,78050,128813,2141047,650929,650929,184028,184028,656665,332693,117925,69856,136191,277709,121293,59742,96674,4090662,1236553,1236553,352111,352111,1276183,616279,238813,148878,272213,613990,250711,137792,225487
2021-07-01,2021,7,1964809,590144,590144,171746,171746,622989,285610,121833,79301,136245,336781,129647,78430,128704,2183226,660592,660592,188116,188116,665236,337741,119874,70817,136804,281636,122549,60735,98352,4148035,1250736,1250736,359862,359862,1288225,623351,241707,150118,273049,618417,252196,139165,227056
2021-08-01,2021,8,1985796,600616,600616,175287,175287,626089,287629,121868,79522,137070,338192,130280,78773,129139,2213062,667435,667435,191590,191590,671410,340851,120616,71478,138465,282804,122626,60917,99261,4198858,1268051,1268051,366877,366877,1297499,628480,242484,151000,275535,620996,252906,139690,228400
2021-09-01,2021,9,1901492,580034,580034,171147,171147,594624,275029,115071,75009,129515,321176,123465,74768,122943,2312829,694909,694909,197660,197660,705077,354098,127688,76081,147210,298752,128619,64828,105305,4214321,1274943,1274943,368807,368807,1299701,629127,242759,151090,276725,619928,252084,139596,228248
2021-10-01,2021,10,2018081,619648,619648,178941,178941,629880,290379,122163,79211,138127,339307,130704,79181,129422,2225175,668658,668658,191663,191663,667778,339223,120001,70728,137826,281947,121889,60582,99476,4243256,1288306,1288306,370604,370604,1297658,629602,242164,149939,275953,621254,252593,139763,228898
2021-11-01,2021,11,2047574,632522,632522,181690,181690,635489,292896,123147,80523,138923,342421,132528,79510,130383,2243211,672370,672370,192172,192172,669331,339652,120239,71678,137762,283359,122663,60991,99705,4290785,1304892,1304892,373862,373862,1304820,632548,243386,152201,276685,625780,255191,140501,230088
2021-12-01,2021,12,2050366,638418,638418,184398,184398,628845,290812,120267,79505,138261,341832,132465,79037,130330,2234993,670384,670384,191463,191463,660915,335921,117447,70909,136638,280644,121111,60157,99376,4285359,1308802,1308802,375861,375861,1289760,626733,237714,150414,274899,622476,253576,139194,229706
2022-01-01,2022,1,2081437,648110,648110,188104,188104,637596,293300,123659,80872,139765,345548,134060,80314,131174,2247069,671508,671508,191555,191555,663325,336318,119151,70926,136930,281309,121465,60390,99454,4328506,1319618,1319618,379659,379659,1300921,629618,242810,151798,276695,626857,255525,140704,230628
2022-02-01,2022,2,2074361,646452,646452,188437,188437,635345,292580,123091,80403,139271,342106,133120,79481,129505,2241616,668056,668056,190518,190518,659203,334390,118563,70147,136103,278192,120258,59476,98458,4315977,1314508,1314508,378955,378955,1294548,626970,241654,150550,275374,620298,253378,138957,227963
2022-03-01,2022,3,2115680,664080,664080,191126,191126,644228,297807,124891,80795,140735,348793,135751,81126,131916,2282575,681152,681152,192960,192960,663950,337457,119297,70348,136848,282895,121947,60771,100177,4398255,1345232,1345232,384086,384086,1308178,635264,244188,151143,277583,631688,257698,141897,232093
2022-04-01,2022,4,2125813,669904,669904,191685,191685,646970,299419,124773,81774,141004,347477,135322,80623,131532,2283058,681030,681030,191600,191600,663105,336609,118929,70846,136721,282662,121715,60744,100203,4408871,1350934,1350934,383285,383285,1310075,636028,243702,152620,277725,630139,257037,141367,231735
2022-05-01,2022,5,2132337,674538,674538,191962,191962,647189,299847,125118,81290,140934,347096,135008,81024,131064,2294681,681923,681923,191367,191367,662858,336701,119090,70676,136391,281469,121115,60757,99597,4427018,1356461,1356461,383329,383329,1310047,636548,244208,151966,277325,628565,256123,141781,230661
2022-06-01,2022,6,2152356,685592,685592,192657,192657,649815,300806,125457,81587,141965,348664,136104,81327,131233,2311188,687390,687390,192080,192080,662592,336394,118911,70953,136334,282012,121360,60959,99693,4463544,1372982,1372982,384737,384737,1312407,637200,244368,152540,278299,630676,257464,142286,230926
2022-07-01,2022,7,2166915,693662,693662,193870,193870,651900,301634,125904,81822,142540,349557,136243,81414,131900,2318175,690247,690247,191594,191594,660328,335080,118717,70442,136089,281026,121044,60699,99283,4485090,1383909,1383909,385464,385464,1312228,636714,244621,152264,278629,630583,257287,142113,231183
2022-08-01,2022,8,2180443,701138,701138,195068,195068,653490,302776,125924,82251,142539,350678,136706,81727,132245,2339740,695222,695222,192471,192471,663451,336676,119122,70930,136723,282411,121241,61638,99532,4520183,1396360,1396360,387539,387539,1316941,639452,245046,153181,279262,633089,257947,143365,231777
2022-09-01,2022,9,2186655,707453,707453,194583,194583,653202,302706,126420,81908,142168,350244,136513,81644,132087,2343126,696508,696508,191779,191779,660465,334750,119262,70763,135690,280751,120667,61119,98965,4529781,1403961,1403961,386362,386362,1313667,637456,245682,152671,277858,630995,257180,142763,231052
2022-10-01,2022,10,2194684,714347,714347,193691,193691,654388,304080,125944,81802,142562,349961,136649,81218,132094,2351434,699199,699199,190998,190998,658974,333467,118760,70999,135748,280258,120469,60975,98814,4546118,1413546,1413546,384689,384689,1313362,637547,244704,152801,278310,630219,257118,142193,230908
2022-11-01,2022,11,2205793,721775,721775,194464,194464,653841,304415,126219,81596,141611,350994,137111,81699,132184,2352645,699960,699960,189680,189680,655277,331959,118561,70341,134416,279030,119662,60937,98431,4558438,1421735,1421735,384144,384144,1309118,636374,244780,151937,276027,630024,256773,142636,230615
2022-12-01,2022,12,2219339,727776,727776,195430,195430,656452,305288,126914,81808,142442,351872,137487,82000,132385,2349571,698028,698028,188523,188523,651259,329783,117952,69641,133883,277411,119010,60685,97716,4568910,1425804,1425804,383953,383953,1307711,635071,244866,151449,276325,629283,256497,142685,230101
2023-01-01,2023,1,2197697,723273,723273,193602,193602,646697,300591,124966,80933,140207,347881,135409,81307,131165,2363827,703684,703684,188382,188382,651715,329641,118231,70011,133832,279138,119345,61079,98714,4561524,1426957,1426957,381984,381984,1298412,630232,243197,150944,274039,627019,254754,142386,229879
2023-02-01,2023,2,2211844,730159,730159,195244,195244,649989,302315,125596,81327,140751,348333,135962,81135,131236,2350401,697835,697835,187096,187096,645316,326663,116900,69248,132505,275420,118087,60165,97168,4562245,1427994,1427994,382340,382340,1295305,628978,242496,150575,273256,623753,254049,141300,228404
2023-03-01,2023,3,2240549,742140,742140,196957,196957,657837,306747,127163,81866,142061,351246,137402,81695,132149,2374802,704825,704825,187785,187785,647739,327611,117508,69460,133160,276509,118266,60637,97606,4615351,1446965,1446965,384742,384742,1305576,634358,244671,151326,275221,627755,255668,142332,229755
