Total general_cotizantes,Total Región Distrito Nacional_cotizantes,Total 0 - Santo Domingo_cotizantes,Distrito Nacional_cotizantes,Monte Plata_cotizantes,Santo Domingo_cotizantes,Total Región Este_cotizantes,Total V - Este_cotizantes,El Seybo_cotizantes,Hato Mayor del Rey_cotizantes,La Altagracia_cotizantes,La Romana_cotizantes,San Pedro de Macorís_cotizantes,Total Región Norte_cotizantes,Total II - Norcentral_cotizantes,Espaillat_cotizantes,Puerto Plata_cotizantes,Santiago_cotizantes,Total III - Nordeste_cotizantes,Duarte_cotizantes,Hermanas Mirabal_cotizantes,Maria Trinidad Sanchez_cotizantes,Samana,Total VII - Cibao Occidental_cotizantes,Dajabon_cotizantes,Montecristi_cotizantes,Santiago Rodriguez_cotizantes,Valverde_cotizantes,Total VIII - Cibao Central_cotizantes,La vega_cotizantes,Monseñor Nouel_cotizantes,Sanchez Ramirez_cotizantes,Total Región Sur_cotizantes,Total I - Valdesia_cotizantes,Peravia_cotizantes,San Cristóbal_cotizantes,San jose de Ocoa,Total IV - Enriquillo_cotizantes,Bahoruco_cotizantes,Barahona_cotizantes,Independencia_cotizantes,Pedernales_cotizantes,Total VI - El Valle_cotizantes,Azua_cotizantes,Elias Piña_cotizantes,San Juan de la Maguana_cotizantes,No Especificada_cotizantes,Month,Year,Periodo de Cobertura,Total general_no_cotizantes,Total Región Distrito Nacional_no_cotizantes,Total 0 - Santo Domingo_no_cotizantes,Distrito Nacional_no_cotizantes,Monte Plata_no_cotizantes,Santo Domingo_no_cotizantes,Total Región Este_no_cotizantes,Total V - Este_no_cotizantes,El Seybo_no_cotizantes,Hato Mayor del Rey_no_cotizantes,La Altagracia_no_cotizantes,La Romana_no_cotizantes,San Pedro de Macorís_no_cotizantes,Total Región Norte_no_cotizantes,Total II - Norcentral_no_cotizantes,Espaillat_no_cotizantes,Puerto Plata_no_cotizantes,Santiago_no_cotizantes,Total III - Nordeste_no_cotizantes,Duarte_no_cotizantes,Hermanas Mirabal_no_cotizantes,Maria Trinidad Sanchez_no_cotizantes,Samaná_regionales,Total VII - Cibao Occidental_no_cotizantes,Dajabon_no_cotizantes,Montecristi_no_cotizantes,Santiago Rodriguez_no_cotizantes,Valverde_no_cotizantes,Total VIII - Cibao Central_no_cotizantes,La vega_no_cotizantes,Monseñor Nouel_no_cotizantes,Sanchez Ramirez_no_cotizantes,Total Región Sur_no_cotizantes,Total I - Valdesia_no_cotizantes,Peravia_no_cotizantes,San Cristóbal_no_cotizantes,San José de Ocoa_regionales,Total IV - Enriquillo_no_cotizantes,Bahoruco_no_cotizantes,Barahona_no_cotizantes,Independencia_no_cotizantes,Pedernales_no_cotizantes,Total VI - El Valle_no_cotizantes,Azua_no_cotizantes,Elias Piña_no_cotizantes,San Juan de la Maguana_no_cotizantes,No Especificada_no_cotizantes,Total general,Total Región Distrito Nacional,Total 0 - Santo Domingo,Distrito Nacional,Monte Plata,Santo Domingo,Total Región Este,Total V - Este,El Seybo,Hato Mayor del Rey,La Altagracia,La Romana,San Pedro de Macorís,Total Región Norte,Total II - Norcentral,Espaillat,Puerto Plata,Santiago,Total III - Nordeste,Duarte,Hermanas Mirabal,Maria Trinidad Sanchez,Samaná,Total VII - Cibao Occidental,Dajabon,Montecristi,Santiago Rodriguez,Valverde,Total VIII - Cibao Central,La vega,Monseñor Nouel,Sanchez Ramirez,Total Región Sur,Total I - Valdesia,Peravia,San Cristóbal,San José de Ocoa,Total IV - Enriquillo,Bahoruco,Barahona,Independencia,Pedernales,Total VI - El Valle,Azua,Elias Piña,San Juan de la Maguana,No Especificada
1993660,720591,720591,534862,17137,168592,143582,143582,7452,8787,39377,48271,39695,436753,238418,30062,40870,167486,71909,38183,10689,13992,9045,45694,8198,10706,6493,20297,80732,45835,19230,15667,167060,82630,15481,61703,5446,35477,8365,19038,5807,2267,48953,17865,6031,25057,525674,3,2019,2019-03-01,2212858,912361,912361,642519,22939,246903,203475,203475,11590,14099,55642,62228,59916,695276,363833,48752,60794,254287,119156,63645,18342,23482,13687,74629,12260,16553,11907,33909,137658,75015,35825,26818,270836,128703,27809,92653,8241,59401,12634,34325,9058,3384,82732,31282,8314,43136,130910,4206518,1632952,1632952,1177381,40076,415495,347057,347057,19042,22886,95019,110499,99611,1132029,602251,78814,101664,421773,191065,101828,29031,37474,22732,120323,20458,27259,18400,54206,218390,120850,55055,42485,437896,211333,43290,13687,154356,94878,20999,53363,14865,5651,131685,49147,14345,68193,656584
2004309,724155,724155,538100,17635,168420,145505,145505,7813,9093,39752,48643,40204,442516,240603,30579,41602,168422,73472,38845,10903,14386,9338,46444,8259,10856,6730,20599,81997,46257,19570,16170,170789,83495,15610,62274,5611,36403,8548,19612,5914,2329,50891,18384,6340,26167,521344,4,2019,2019-04-01,2218872,913586,913586,642167,23064,248355,204679,204679,11705,14198,56071,62500,60205,698527,365022,49226,61184,254612,120319,64061,18559,23872,13827,74877,12202,16537,12128,34010,138309,75254,36178,26877,271917,128843,27872,92682,8289,59766,12714,34497,9137,3418,83308,31255,8370,43683,130163,4223181,1637741,1637741,1180267,40699,416775,350184,350184,19518,23291,95823,111143,100409,1141043,605625,79805,102786,423034,193791,102906,29462,38258,23165,121321,20461,27393,18858,54609,220306,121511,55748,43047,442706,212338,43482,13900,154956,96169,21262,54109,15051,5747,134199,49639,14710,69850,651507
2005816,517188,517188,343889,44564,128735,199948,199948,26085,25524,38428,46989,62922,684646,301588,55950,71398,174240,138994,60786,26158,31658,20392,90875,20027,22841,19250,28757,153189,79090,34807,39292,380167,140446,25060,97841,17545,88171,25051,43997,14183,4940,151550,41758,26280,83512,223867,5,2019,2019-05-01,2211535,712751,712751,471973,22032,218746,228186,228186,16200,17658,61015,62778,70535,777659,389314,56770,72174,260370,142240,69398,25119,31073,16650,84108,12441,17918,17072,36677,161997,83899,44049,34049,317889,143553,33631,98481,11441,70163,15388,41661,10069,3045,104173,37228,11425,55520,175050,4217351,1229939,1229939,815862,66596,347481,428134,428134,42285,43182,99443,109767,133457,1462305,690902,112720,143572,434610,281234,130184,51277,62731,37042,174983,32468,40759,36322,65434,315186,162989,78856,73341,698056,283999,58691,28986,196322,158334,40439,85658,24252,7985,255723,78986,37705,139032,398917
2014677,520776,520776,345434,44559,130783,200231,200231,26075,25562,38513,47074,63007,685346,302552,55915,71172,175465,138948,61336,26085,31589,19938,91027,20120,22844,19266,28797,152819,79028,34489,39302,380727,140699,25149,97989,17561,88205,24894,44126,14227,4958,151823,41837,26296,83690,227597,6,2019,2019-06-01,2219130,709891,709891,469065,21985,218841,228052,228052,16255,17804,60996,62887,70110,775200,387905,56568,72182,259155,141650,69515,24939,30886,16310,84068,12610,17852,17106,36500,161577,83717,43922,33938,317267,142487,33382,97586,11519,70152,15392,41635,10068,3057,104628,37781,11504,55343,188720,4233807,1230667,1230667,814499,66544,349624,428283,428283,42330,43366,99509,109961,133117,1460546,690457,112483,143354,434620,280598,130851,51024,62475,36248,175095,32730,40696,36372,65297,314396,162745,78411,73240,697994,283186,58531,29080,195575,158357,40286,85761,24295,8015,256451,79618,37800,139033,416317
2017912,523276,523276,347069,44659,131548,199771,199771,25868,25509,38585,46939,62870,684015,301753,55803,70852,175098,139078,61416,26097,31580,19985,91051,20178,22859,19344,28670,152133,78681,34312,39140,379714,140284,25008,97830,17446,87900,24815,43986,14174,4925,151530,41656,26320,83554,231136,7,2019,2019-07-01,2228967,708436,708436,467746,22028,218662,227597,227597,16244,17704,60937,62696,70016,773371,386710,56482,72003,258225,141784,69517,24990,30850,16427,84138,12717,17815,17165,36441,160739,83200,43705,33834,317654,142727,33327,97908,11492,69656,15358,41232,10039,3027,105271,38637,11448,55186,201909,4246879,1231712,1231712,814815,66687,350210,427368,427368,42112,43213,99522,109635,132886,1457386,688463,112285,142855,433323,280862,130933,51087,62430,36412,175189,32895,40674,36509,65111,312872,161881,78017,72974,697368,283011,58335,28938,195738,157556,40173,85218,24213,7952,256801,80293,37768,138740,433045
2023261,526855,526855,348525,44650,133680,198081,198081,25555,25316,38374,46452,62384,685149,302897,56038,70787,176072,139122,61492,25990,31496,20144,90766,20054,22737,19251,28724,152364,79000,34385,38979,379696,139903,24971,97482,17450,88218,24869,44257,14135,4957,151575,41591,26353,83631,233480,8,2019,2019-08-01,2240406,707028,707028,465792,22089,219147,226932,226932,16471,17718,60674,62221,69848,772109,385952,56263,71683,258006,141705,69661,24861,30717,16466,83817,12638,17717,17091,36371,160635,83289,43598,33748,317482,141413,33060,96901,11452,69871,15314,41475,10037,3045,106198,39583,11370,55245,216855,4263667,1233883,1233883,814317,66739,352827,425013,425013,42026,43034,99048,108673,132232,1457258,688849,112301,142470,434078,280827,131153,50851,62213,36610,174583,32692,40454,36342,65095,312999,162289,77983,72727,697178,281316,58031,28902,194383,158089,40183,85732,24172,8002,257773,81174,37723,138876,450335
2031616,530995,530995,351052,44668,135275,198166,198166,25437,25180,38151,46900,62498,686556,304053,56223,70849,176981,139067,61505,25862,31637,20063,90794,20098,22817,19256,28623,152642,78729,34678,39235,379357,140181,24783,98043,17355,87983,24751,44212,14078,4942,151193,41374,26376,83443,236542,9,2019,2019-09-01,2247534,704920,704920,463635,22025,219260,226050,226050,16245,17664,60394,62251,69496,769613,384562,56043,71457,257062,141214,69371,24615,30919,16309,83719,12680,17732,17048,36259,160118,82860,43386,33872,317634,141597,33039,97096,11462,69613,15263,41313,9982,3055,106424,40132,11396,54896,229317,4279150,1235915,1235915,814687,66693,354535,424216,424216,41682,42844,98545,109151,131994,1456169,688615,112266,142306,434043,280281,130876,50477,62556,36372,174513,32778,40549,36304,64882,312760,161589,78064,73107,696991,281778,57822,28817,195139,157596,40014,85525,24060,7997,257617,81506,37772,138339,465859
2037310,534619,534619,353165,44656,136798,197652,197652,25369,25125,37914,47029,62215,686275,304194,55999,70776,177419,139247,61606,26031,31637,19973,90637,20118,22795,19204,28520,152197,78624,34520,39053,379554,140359,24954,98104,17301,88015,24712,44212,14083,5008,151180,41510,26343,83327,239210,10,2019,2019-10-01,2248927,702302,702302,461372,21962,218968,224136,224136,16137,17535,59814,61825,68825,766750,383478,55970,71262,256246,141060,69163,24695,30868,16334,83388,12756,17679,16992,35961,158824,82249,43089,33486,316860,140482,32623,96468,11391,69391,15231,41146,9971,3043,106987,40840,11340,54807,238879,4286237,1236921,1236921,814537,66618,355766,421788,421788,41506,42660,97728,108854,131040,1453025,687672,111969,142038,433665,280307,130769,50726,62505,36307,174025,32874,40474,36196,64481,311021,160873,77609,72539,696414,280841,57577,28692,194572,157406,39943,85358,24054,8051,258167,82350,37683,138134,478089
2045932,540969,540969,357528,44675,138766,196637,196637,25148,25018,37726,47008,61737,686054,303726,55979,70730,177017,139322,61729,26054,31369,20170,90742,20121,22845,19225,28551,152264,78918,34424,38922,380450,140605,24976,98302,17327,88310,24896,44287,14157,4970,151535,41844,26289,83402,241822,11,2019,2019-11-01,2254366,699848,699848,458411,21852,219585,222524,222524,15986,17435,59345,61528,68230,762255,380749,55593,70924,254232,140848,69056,24549,30800,16443,82844,12680,17605,16869,35690,157814,81762,42844,33208,316338,139792,32442,95958,11392,69253,15142,41136,9931,3044,107293,41549,11294,54450,253401,4300298,1240817,1240817,815939,66527,358351,419161,419161,41134,42453,97071,108536,129967,1448309,684475,111572,141654,431249,280170,130785,50603,62169,36613,173586,32801,40450,36094,64241,310078,160680,77268,72130,696788,280397,57418,28719,194260,157563,40038,85423,24088,8014,258828,83393,37583,137852,495223
1988233,539068,539068,356303,44136,138629,193454,193454,24840,24391,37419,46448,60356,652086,290257,53777,67617,168863,130788,57547,24722,29282,19237,85359,19347,21320,18316,26376,145682,75372,32792,37518,371194,136352,23074,96511,16767,86409,24435,43414,13636,4924,148433,40572,25783,82078,232431,12,2019,2019-12-01,2240428,693554,693554,453686,21898,217970,219446,219446,15949,17250,58786,60566,66895,751019,376252,54828,69942,251482,138879,68025,24604,30229,16021,80997,12640,17271,16680,34406,154891,80141,41838,32912,312823,137341,31520,94466,11355,68617,15153,40711,9721,3032,106865,41412,11360,54093,263586,4228661,1232622,1232622,809989,66034,356599,412900,412900,40789,41641,96205,107014,127251,1403105,666509,108605,137559,420345,269667,125572,49326,59511,35258,166356,31987,38591,34996,60782,300573,155513,74630,70430,684017,273693,54594,28122,190977,155026,39588,84125,23357,7956,255298,81984,37143,136171,496017
2026522,543270,543270,358628,44317,140325,196769,196769,25367,24617,38258,47280,61247,668033,296022,54491,69306,172225,135809,60384,25372,30365,19688,87954,19776,22078,18659,27441,148248,76354,33640,38254,375751,138589,24502,97023,17064,87843,24727,44014,14155,4947,149319,41276,25768,82275,242699,1,2020,2020-01-01,2239870,691123,691123,451238,21844,218041,219483,219483,15906,17181,58940,60681,66775,742033,370834,54096,69310,247428,136842,67669,24012,29399,15762,80858,12743,17143,16621,34351,153499,79253,41478,32768,314145,137761,32096,94417,11248,68887,15080,40757,10031,3019,107497,42307,11271,53919,273086,4266392,1234393,1234393,809866,66161,358366,416252,416252,41273,41798,97198,107961,128022,1410066,666856,108587,138616,419653,272651,128053,49384,59764,35450,168812,32519,39221,35280,61792,301747,155607,75118,71022,689896,276350,56598,28312,191440,156730,39807,84771,24186,7966,256816,83583,37039,136194,515785
2024980,543750,543750,358403,44345,141002,197259,197259,25360,24771,38489,47218,61421,666377,295285,54365,69427,171493,135324,59801,24944,30584,19995,87467,19613,22064,18587,27203,148301,76342,33836,38123,374765,138360,24317,97067,16976,87475,24622,43889,14020,4944,148930,41069,25659,82202,242829,2,2020,2020-02-01,2244029,688492,688492,448751,21720,218021,218818,218818,15934,17226,58852,60414,66392,739691,369880,54315,69051,246514,135917,66793,23562,29626,15936,80564,12654,17147,16482,34281,153330,79257,41576,32497,313174,137042,31748,94096,11198,68541,15067,40584,9852,3038,107591,42706,11152,53733,283854,4269009,1232242,1232242,807154,66065,359023,416077,416077,41294,41997,97341,107632,127813,1406068,665165,108680,138478,418007,271241,126594,48506,60210,35931,168031,32267,39211,35069,61484,301631,155599,75412,70620,687939,275402,56065,28174,191163,156016,39689,84473,23872,7982,256521,83775,36811,135935,526683
2034994,545957,545957,359555,44329,142073,198110,198110,25283,24829,38644,47494,61860,668414,297134,54304,69757,173073,135033,59792,25202,30365,19674,88084,19915,22081,18618,27470,148163,76406,33777,37980,376867,139389,24676,97713,17000,87958,24628,43882,14483,4965,149520,41448,25737,82335,245646,3,2020,2020-03-01,2255760,689888,689888,448890,21843,219155,219006,219006,15881,17193,58780,60615,66537,736754,368301,53773,68621,245907,134823,66590,23674,28985,15574,80309,12824,17024,16320,34141,153321,79445,41527,32349,314813,137487,31836,94431,11220,68785,15008,40651,10113,3013,108541,43583,11209,53749,295299,4290754,1235845,1235845,808445,66172,361228,417116,417116,41164,42022,97424,108109,128397,1405168,665435,108077,138378,418980,269856,126382,48876,59350,35248,168393,32739,39105,34938,61611,301484,155851,75304,70329,691680,276876,56512,28220,192144,156743,39636,84533,24596,7978,258061,85031,36946,136084,540945
1883962,505207,505207,331490,41153,132564,185288,185288,23978,23137,36214,44792,57167,617618,275411,50894,63896,160621,123722,54344,23278,27854,18246,81431,18607,20422,17377,25025,137054,70808,30968,35278,350955,129401,22678,90970,15753,82687,23087,41066,13842,4692,138867,38485,23964,76418,224894,4,2020,2020-04-01,2119976,645690,645690,419210,20713,205767,208632,208632,15227,16388,55712,58019,63286,690763,345688,50533,64249,230906,125990,61223,22192,27562,15013,74842,12102,15952,15651,31137,144243,74244,38807,31192,298156,129112,29650,88800,10662,65945,14400,38880,9794,2871,103099,41000,10674,51425,276735,4003938,1150897,1150897,750700,61866,338331,393920,393920,39205,39525,91926,102811,120453,1308381,621099,101427,128145,391527,249712,115567,45470,55416,33259,156273,30709,36374,33028,56162,281297,145052,69775,66470,649111,258513,52328,26415,179770,148632,37487,79946,23636,7563,241966,79485,34638,127843,501629
1456151,403266,403266,265471,34424,103371,131799,131799,17755,17598,21834,32361,42251,446288,180039,35470,40852,103717,97341,43754,18889,20897,13801,62358,15027,15356,13147,18828,106550,53254,24344,28952,293548,107487,18472,75905,13110,70860,19857,34968,12417,3618,115201,30969,20536,63696,181250,5,2020,2020-05-01,2577204,765682,765682,499051,28044,238587,254269,254269,20827,21556,67553,68407,75926,870778,439599,65615,86096,287888,156707,75730,27368,34394,19215,94608,16079,21121,19878,37530,179864,96143,46071,37650,360476,151458,33415,104441,13602,79048,18067,45599,11391,3991,129970,49278,14668,66024,325999,4033355,1168948,1168948,764522,62468,341958,386068,386068,38582,39154,89387,100768,118177,1317066,619638,101085,126948,391605,254048,119484,46257,55291,33016,156966,31106,36477,33025,56358,286414,149397,70415,66602,654024,258945,51887,26712,180346,149908,37924,80567,23808,7609,245171,80247,35204,129720,507249
1488437,406139,406139,268242,34566,103331,125963,125963,16817,17025,19394,30979,41748,473183,196845,38450,42399,115996,100666,45646,19827,21585,13608,66658,15613,16553,13989,20503,109014,54954,24646,29414,296930,109428,18693,77545,13190,70836,19789,34958,12438,3651,116666,31104,20965,64597,186222,6,2020,2020-06-01,2666028,791015,791015,514776,29393,246846,267794,267794,22579,23001,70703,71210,80301,890861,446249,66766,89123,290360,162407,78090,28009,35748,20560,96538,16210,21238,20276,38814,185667,98199,48319,39149,370924,156195,34140,108003,14052,81633,18704,47042,11783,4104,133096,50015,14965,68116,345434,4154465,1197154,1197154,783018,63959,350177,393757,393757,39396,40026,90097,102189,122049,1364044,643094,105216,131522,406356,263073,123736,47836,57333,34168,163196,31823,37791,34265,59317,294681,153153,72965,68563,667854,265623,52833,27242,185548,152469,38493,82000,24221,7755,249762,81119,35930,132713,531656
1693498,456546,456546,301350,37675,117521,143870,143870,18955,19067,23695,35139,47014,558709,240694,45127,50992,144575,114609,52096,22026,25408,15079,76570,17332,18941,16252,24045,126836,65532,29058,32246,326636,121926,21443,85754,14729,76406,21239,37820,13142,4205,128304,35006,22575,70723,207737,7,2020,2020-07-01,2495054,746119,746119,485013,26313,234793,253126,253126,20791,21220,67191,68103,75821,813589,407663,59996,81719,265948,149649,72134,25718,32904,18893,87578,14381,19026,18175,35996,168699,87911,44319,36469,345070,146284,32442,101087,12755,76453,17303,44362,11216,3572,122333,46869,13357,62107,337150,4188552,1202665,1202665,786363,63988,352314,396996,396996,39746,40287,90886,103242,122835,1372298,648357,105123,132711,410523,264258,124230,47744,58312,33972,164148,31713,37967,34427,60041,295535,153443,73377,68715,671706,268210,53885,27484,186841,152859,38542,82182,24358,7777,250637,81875,35932,132830,544887
1756207,475502,475502,313029,38940,123533,149749,149749,19394,19676,24734,36545,49400,582671,253952,47411,53560,152981,118306,53370,22617,26367,15952,78906,17785,19473,16697,24951,131507,68359,29859,33289,335351,125618,22203,88390,15025,78145,21744,38867,13162,4372,131588,35787,23210,72591,212934,8,2020,2020-08-01,2395201,718532,718532,467692,24478,226362,230666,230666,18714,18911,59712,63748,69581,781548,393180,57597,77981,257602,142366,69235,24510,31258,17363,84544,13650,18027,17510,35357,161458,84167,42795,34496,331546,141925,31918,97957,12050,73108,16319,42585,10778,3426,116513,45373,12551,58589,332909,4151408,1194034,1194034,780721,63418,349895,380415,380415,38108,38587,84446,100293,118981,1364219,647132,105008,131541,410583,260672,122605,47127,57625,33315,163450,31435,37500,34207,60308,292965,152526,72654,67785,666897,267543,54121,27075,186347,151253,38063,81452,23940,7798,248101,81160,35761,131180,545843
1745176,480381,480381,316434,38798,125149,145984,145984,18829,19044,23952,36109,48050,575133,253581,47335,52620,153626,114025,51222,22378,25069,15356,76830,17405,19324,16322,23779,130697,68470,29404,32823,332770,124089,21185,87969,14935,77878,21655,38818,13057,4348,130803,35423,23088,72292,210908,9,2020,2020-09-01,2402646,723179,723179,471075,24580,227524,230669,230669,18633,18931,60288,63797,69020,774229,390523,56913,77024,256586,139384,68585,24311,30054,16434,82827,13512,18055,17033,34227,161495,84781,42452,34262,332444,142626,31693,98761,12172,73153,16306,42561,10821,3465,116665,45170,12628,58867,342125,4147822,1203560,1203560,787509,63378,352673,376653,376653,37462,37975,84240,99906,117070,1349362,644104,104248,129644,410212,253409,119807,46689,55123,31790,159657,30917,37379,33355,58006,292192,153251,71856,67085,665214,266715,52878,27107,186730,151031,37961,81379,23878,7813,247468,80593,35716,131159,553033
1791514,488963,488963,321699,39022,128242,150211,150211,19239,19524,24916,36744,49788,598322,263013,48464,54513,160036,121411,55069,23008,26864,16470,79783,17514,19799,16933,25537,134115,69939,30259,33917,336916,126705,22720,88998,14987,78334,21776,38947,13245,4366,131877,35927,23251,72699,217102,10,2020,2020-10-01,2392213,717217,717217,467875,24039,225303,220655,220655,17609,18174,56030,61333,67509,775076,389288,56904,75856,256528,141388,69473,24528,30826,16561,84297,13935,17986,17158,35218,160103,83707,42405,33991,328362,140597,31955,96757,11885,72347,16008,42131,10859,3349,115418,45061,12365,57992,350903,4183727,1206180,1206180,789574,63061,353545,370866,370866,36848,37698,80946,98077,117297,1373398,652301,105368,130369,416564,262799,124542,47536,57690,33031,164080,31449,37785,34091,60755,294218,153646,72664,67908,665278,267302,54675,26872,185755,150681,37784,81078,24104,7715,247295,80988,35616,130691,568005
1787700,496945,496945,327503,38780,130662,149428,149428,19034,19235,24875,36787,49497,590472,261806,48332,53793,159681,118881,53869,22716,26286,16010,78220,17323,19573,16653,24671,131565,68342,29632,33591,334744,125891,21598,89350,14943,77725,21584,38492,13289,4360,131128,35690,23112,72326,216111,11,2020,2020-11-01,2347006,740964,740964,492154,22721,226089,211454,211454,15751,16805,52739,59752,66407,742255,375896,54306,70478,251112,134056,66139,23469,28796,15652,79181,12794,17010,15969,33408,153122,80095,40559,32468,316498,136721,30123,95329,11269,70132,15265,40428,11245,3194,109645,43045,11626,54974,335835,4134706,1237909,1237909,819657,61501,356751,360882,360882,34785,36040,77614,96539,115904,1332727,637702,102638,124271,410793,252937,120008,46185,55082,31662,157401,30117,36583,32622,58079,284687,148437,70191,66059,651242,262612,51721,26212,184679,147857,36849,78920,24534,7554,240773,78735,34738,127300,551946
1835672,513868,513868,339756,39038,135074,153539,153539,19245,19335,27047,37952,49960,607652,270836,48879,56716,165241,121678,55690,22997,26829,16162,79912,17413,19769,16860,25870,135226,70310,30665,34251,337489,127277,22834,89466,14977,78521,21667,38736,13691,4427,131691,36193,23042,72456,223124,12,2020,2020-12-01,2379231,745550,745550,495165,22632,227753,214226,214226,15882,16802,54755,60165,66622,753337,380318,54669,70794,254855,136637,67869,23607,29492,15669,80810,12930,17208,16207,34465,155572,81325,41644,32603,317950,137974,31143,95510,11321,70547,15185,40567,11587,3208,109429,43358,11526,54545,348168,4214903,1259418,1259418,834921,61670,362827,367765,367765,35127,36137,81802,98117,116582,1360989,651154,103548,127510,420096,258315,123559,46604,56321,31831,160722,30343,36977,33067,60335,290798,151635,72309,66854,655439,265251,53977,26298,184976,149068,36852,79303,25278,7635,241120,79551,34568,127001,571292
1826674,518976,518976,343793,38492,136691,157798,157798,19357,19390,28540,39034,51477,594307,265984,47821,54662,163501,119402,54396,22202,26416,16388,77185,16717,18936,16290,25242,131736,69060,29863,32813,330622,125818,22479,88586,14753,76715,21388,37581,13479,4267,128089,35580,22240,70269,224971,1,2021,2021-01-01,2291134,702678,702678,462391,23037,217250,205116,205116,15355,16207,51940,57628,63986,725598,362815,53185,66407,243223,133110,66085,23331,28376,15318,78862,12765,16795,15898,33404,150811,78023,40786,32002,312840,135057,30339,93442,11276,69620,15238,40075,11192,3115,108163,42862,11696,53605,344902,4117808,1221654,1221654,806184,61529,353941,362914,362914,34712,35597,80480,96662,115463,1319905,628799,101006,121069,406724,252512,120481,45533,54792,31706,156047,29482,35731,32188,58646,282547,147083,70649,64815,643462,260875,52818,26029,182028,146335,36626,77656,24671,7382,236252,78442,33936,123874,569873
1844114,527488,527488,352075,38255,137158,157543,157543,19339,19239,28939,39310,50716,599999,268990,47869,55742,165379,119591,54492,22229,26618,16252,77879,16784,19200,16310,25585,133539,69800,30492,33247,330371,125925,22565,88667,14693,76838,21240,37769,13575,4254,127608,35454,22162,69992,228713,2,2021,2021-02-01,2101767,636833,636833,416647,19465,200721,180398,180398,13255,14218,43887,51825,57213,664889,332467,47622,57070,227775,121757,61373,21070,25892,13422,71827,11399,15055,14427,30946,138838,72443,37458,28937,281424,123869,28263,85583,10023,60989,13160,35566,9555,2708,96566,39225,9899,47442,338223,3945881,1164321,1164321,768722,57720,337879,337941,337941,32594,33457,72826,91135,107929,1264888,601457,95491,112812,393154,241348,115865,43299,52510,29674,149706,28183,34255,30737,56531,272377,142243,67950,62184,611795,249794,50828,24716,174250,137827,34400,73335,23130,6962,224174,74679,32061,117434,566936
1885997,546011,546011,365293,38583,142135,159662,159662,19413,19351,29682,39855,51361,612749,277642,49181,57524,170937,121268,55463,22543,26845,16417,79240,17053,19439,16629,26119,134599,70297,30882,33420,333882,127557,23022,89704,14831,77531,21321,37983,13865,4362,128794,35835,22366,70593,233693,3,2021,2021-03-01,2131398,644162,644162,419464,19791,204907,181672,181672,13362,14255,44847,52262,56946,668532,335417,48113,58090,229214,121992,61391,21222,25921,13458,72487,11522,15294,14502,31169,138636,72260,37515,28861,283881,124412,28660,85595,10157,61546,13197,35771,9813,2765,97923,40439,9942,47542,353151,4017395,1190173,1190173,784757,58374,347042,341334,341334,32775,33606,74529,92117,108307,1281281,613059,97294,115614,400151,243260,116854,43765,52766,29875,151727,28575,34733,31131,57288,273235,142557,68397,62281,617763,251969,51682,24988,175299,139077,34518,73754,23678,7127,226717,76274,32308,118135,586844
1883204,556856,556856,373634,38286,144936,160703,160703,19203,19421,30331,40117,51631,602370,276303,48570,57223,170510,115728,52387,22074,25491,15776,77216,16822,19254,16091,25049,133123,70090,30132,32901,331648,125891,21539,89704,14648,77385,21411,37768,13794,4412,128372,35791,22199,70382,231627,4,2021,2021-04-01,2135170,647143,647143,421394,19784,205965,181767,181767,13446,14161,45273,52060,56827,665093,335250,47623,58128,229499,121270,60701,21082,26031,13456,71096,11468,15030,14305,30293,137477,72192,36679,28606,281619,121948,27096,84871,9981,61504,12990,35883,9930,2701,98167,40542,10035,47590,359548,4018374,1203999,1203999,795028,58070,350901,342470,342470,32649,33582,75604,92177,108458,1267463,611553,96193,115351,400009,236998,113088,43156,51522,29232,148312,28290,34284,30396,55342,270600,142282,66811,61507,613267,247839,48635,24629,174575,138889,34401,73651,23724,7113,226539,76333,32234,117972,591175
1919585,569977,569977,382873,38374,148730,165850,165850,19562,19655,32293,41317,53023,613404,279848,48734,57980,173134,119917,54644,22431,26570,16272,78217,16813,19391,16420,25593,135422,71567,30534,33321,333736,127460,22301,90463,14696,77585,21437,37836,13893,4419,128691,36137,22096,70458,236618,5,2021,2021-05-01,2166429,657274,657274,429009,19657,208608,186091,186091,13517,14440,47174,52972,57988,669559,338152,48124,58765,231263,120670,60559,21042,25739,13330,71328,11528,15102,14314,30384,139409,73295,37196,28918,283717,123562,28045,85461,10056,61387,13155,35521,9995,2716,98768,41254,9889,47625,369788,4086014,1227251,1227251,811882,58031,357338,351941,351941,33079,34095,79467,94289,111011,1282963,618000,96858,116745,404397,240587,115203,43473,52309,29602,149545,28341,34493,30734,55977,274831,144862,67730,62239,617453,251022,50346,24752,175924,138972,34592,73357,23888,7135,227459,77391,31985,118083,606406
