Periodo de Cobertura,Total Afiliados,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y Más,Year,Month,Sexo
2010-12-01,1153957,98678,114461,114590,86325,89201,110793,113805,101206,90987,75249,56147,40006,25197,14290,10403,6515,3791,2313,2010,12,F
2011-01-01,1158132,99146,114038,114912,86571,89899,111001,114323,101342,91216,75459,56348,40381,25430,14609,10539,6680,3873,2365,2011,1,F
2011-02-01,1165491,100025,114708,115887,86722,90047,110649,114773,101591,91985,76197,56904,41124,25885,14947,10750,6918,3965,2414,2011,2,F
2011-03-01,1178268,101240,115657,117199,87719,91289,111578,115800,102111,92821,77051,57512,41709,26388,15378,11067,7158,4104,2487,2011,3,F
2011-04-01,1195559,103381,116747,118766,88694,92936,113041,117485,103516,93837,77956,58292,42545,26973,15816,11354,7441,4208,2571,2011,4,F
2011-05-01,1183495,102881,115354,117544,87792,92017,111935,116441,102359,92640,76979,57562,42053,26653,15760,11254,7415,4240,2616,2011,5,F
2011-06-01,1201471,104434,117028,119825,89141,92845,112950,117597,103460,93778,78266,58821,43123,27466,16390,11573,7690,4364,2720,2011,6,F
2011-07-01,1216371,105428,118083,121434,90304,94292,113955,118687,104364,94702,79340,59803,43868,27983,16990,11859,7974,4467,2838,2011,7,F
2011-08-01,1227282,105825,118695,122631,92018,95359,114776,119417,105045,95199,80266,60343,44565,28231,17383,12023,8067,4541,2898,2011,8,F
2011-09-01,1230429,106511,119096,122950,92584,96122,115284,119533,105227,94975,80055,60149,44530,28264,17537,12053,8114,4534,2911,2011,9,F
2011-10-01,1232311,106050,118218,122077,92129,96788,115839,120159,105627,95137,80844,60344,44523,28706,17821,12199,8263,4622,2965,2011,10,F
2011-11-01,1236593,106601,118512,122631,92086,96793,115719,120239,105819,95284,81547,60673,44998,29137,18066,12315,8484,4658,3031,2011,11,F
2011-12-01,1238006,106439,118532,122603,92184,97774,116008,120763,105984,95009,81600,60550,44815,29171,18127,12243,8494,4645,3065,2011,12,F
2012-01-01,1241753,106442,118269,122865,91902,97885,115953,121083,106054,94884,82269,61509,45409,29560,18457,12457,8725,4831,3199,2012,1,F
2012-02-01,1250010,107578,118794,124096,91910,97948,116434,121757,106704,95534,83163,62098,45835,29917,18723,12592,8764,4908,3255,2012,2,F
2012-03-01,1267445,109978,119985,125691,92917,99890,117887,122925,108006,96610,84326,62900,46478,30515,19116,12840,9001,5021,3359,2012,3,F
2012-04-01,1275441,110991,120375,126355,92955,100625,118775,123761,108624,97319,84914,63313,46935,30731,19289,12968,9036,5080,3395,2012,4,F
2012-05-01,1282524,111420,120872,127197,93309,100792,118896,124007,108964,97796,85811,64048,47478,31173,19688,13196,9235,5170,3472,2012,5,F
2012-06-01,1293695,113038,121601,128342,93566,102184,119685,124649,109729,98508,86456,64766,48067,31630,19980,13322,9329,5309,3534,2012,6,F
2012-07-01,1252345,108942,117280,124630,91145,96990,114537,120255,105978,95528,84385,63496,47277,31087,19673,13207,9205,5247,3483,2012,7,F
2012-08-01,1299062,113517,121197,129246,96107,102880,119431,124427,109332,98416,86936,65093,48499,31963,20004,13680,9399,5356,3579,2012,8,F
2012-09-01,1315030,114839,122207,130921,97328,104480,120939,125898,110383,99438,87999,65891,49113,32483,20230,14088,9611,5532,3650,2012,9,F
2012-10-01,1313736,113970,121880,131045,97306,103951,120786,126019,110560,99597,88104,65830,49153,32367,20203,14160,9606,5540,3659,2012,10,F
2012-11-01,1322205,114383,122507,131827,97103,104736,121521,127181,111537,100334,88638,66399,49552,32766,20399,14329,9686,5607,3700,2012,11,F
2012-12-01,1327638,115267,122896,132422,97102,105489,122193,127956,112115,100594,88668,66567,49566,32854,20496,14422,9738,5583,3710,2012,12,F
2013-01-01,1329548,115683,123065,133105,96661,105126,122092,127992,112087,100656,88834,66918,49831,33119,20634,14530,9804,5630,3781,2013,1,F
2013-02-01,1337958,116881,123492,133705,96699,106515,123092,128781,112671,101025,89307,67386,50149,33378,20862,14596,9893,5690,3836,2013,2,F
2013-03-01,1352397,118405,124196,135044,97506,107375,124242,129478,113653,101944,90433,68499,51173,34049,21368,15009,10149,5914,3960,2013,3,F
2013-04-01,1360156,118555,124639,135759,97942,108059,124798,130057,114367,102578,90980,69143,51755,34378,21700,15142,10301,5965,4038,2013,4,F
2013-05-01,1376695,119712,126083,137513,98534,109602,126063,131607,115460,103710,92075,70194,52751,35034,22206,15424,10485,6112,4130,2013,5,F
2013-06-01,1390510,120718,127325,138954,99352,110638,127249,132835,116374,104755,92841,71201,53395,35616,22519,15631,10641,6263,4203,2013,6,F
2013-07-01,1392216,120310,126984,138866,99195,111173,127400,132682,116320,104878,93155,71774,53646,35969,22729,15788,10760,6326,4261,2013,7,F
2013-08-01,1408341,122214,128424,140052,102199,112791,128498,133567,117198,106039,93762,72454,54208,36444,23065,15902,10866,6352,4306,2013,8,F
2013-09-01,1414581,122583,128928,140275,102415,113291,129207,134005,117963,106239,94044,73027,54561,36829,23375,16062,10999,6392,4386,2013,9,F
2013-10-01,1414508,121426,129055,140695,102490,112739,129016,133779,118203,106375,94220,73285,54552,37003,23542,16152,11054,6475,4447,2013,10,F
2013-11-01,1431489,124319,130576,142029,104267,114108,130389,134844,119473,107287,94936,74089,55150,37476,23910,16400,11142,6569,4525,2013,11,F
2013-12-01,1438575,124754,131225,142315,104881,114399,131171,135370,120304,107597,95284,74792,55515,37820,24105,16560,11257,6646,4580,2013,12,F
2014-01-01,1439765,125167,131374,142206,104680,114615,131514,135494,120582,107475,95172,74909,55420,37986,24195,16528,11258,6626,4564,2014,1,F
2014-02-01,1441195,126104,131892,142261,104237,115313,132052,135775,121144,107389,94848,74627,55031,37879,24050,16421,11128,6533,4511,2014,2,F
2014-03-01,1456016,126943,132587,143292,105283,116469,133557,136750,122167,108455,95828,75686,56019,38710,24585,16767,11466,6740,4712,2014,3,F
2014-04-01,1474449,128330,133782,144784,106906,117470,134722,137803,123757,109923,97177,77135,57079,39663,25249,17115,11766,6941,4847,2014,4,F
2014-05-01,1491597,130944,135188,146154,108474,119171,136368,138711,125187,111058,97742,78025,57601,40162,25678,17153,11951,7059,4971,2014,5,F
2014-06-01,1504480,132261,136137,146994,109677,120012,137638,139586,126180,111704,98368,78930,58181,40825,26233,17377,12098,7183,5096,2014,6,F
2014-07-01,1508361,132510,136796,147222,109457,120583,137872,139605,126811,111662,98668,79293,58594,41183,26517,17390,12033,7139,5026,2014,7,F
2014-08-01,1523762,132590,138442,148518,111519,122428,139720,140638,127952,112593,99391,80030,59305,41633,26840,17523,12248,7235,5157,2014,8,F
2014-09-01,1530217,132719,139140,148756,112424,122864,140392,140699,128494,112740,99734,80416,59928,42013,27183,17708,12391,7387,5229,2014,9,F
2014-10-01,1542742,132750,140483,149646,113591,123537,142201,141746,129920,113664,100488,80837,60529,42500,27592,17911,12514,7502,5331,2014,10,F
2014-11-01,1556523,132107,141483,150165,114750,124867,144232,143263,131411,114943,101536,81649,61367,43036,28062,18014,12659,7606,5373,2014,11,F
2014-12-01,1563274,134526,142030,150005,114932,125075,145090,143247,132212,115131,101975,81837,61774,43253,28166,18100,12819,7698,5404,2014,12,F
2015-01-01,1570852,134239,142329,149583,114097,126300,146874,143532,132638,115287,102093,82085,62294,43984,29179,18795,13622,8114,5807,2015,1,F
2015-02-01,1573087,134393,142512,149407,114204,126278,147504,143197,132636,115034,101860,82166,62391,44382,29751,19053,14008,8362,5949,2015,2,F
2015-03-01,1592712,137148,144506,151159,116808,126654,148670,144422,133848,116243,102977,83274,63140,45136,30374,19356,14312,8554,6131,2015,3,F
2015-04-01,1614159,139163,145446,151908,119072,129697,150958,146465,135616,117452,104543,84274,63927,45707,30977,19542,14510,8658,6244,2015,4,F
2015-05-01,1628544,140015,146624,152892,120232,131477,152622,147606,136755,118214,105370,85120,64547,46301,31372,19662,14596,8770,6369,2015,5,F
2015-06-01,1635900,140335,147080,153203,121120,132343,153650,147898,137476,118450,105857,85674,64813,46668,31631,19785,14661,8843,6413,2015,6,F
2015-07-01,1637601,139117,147152,152718,121223,132808,154251,147983,137763,118467,106052,86020,65110,46924,32001,19867,14719,8915,6511,2015,7,F
2015-08-01,1645926,141386,147644,152783,122433,133775,155401,148374,138366,118785,106202,86286,65187,47050,32155,19916,14717,8866,6600,2015,8,F
2015-09-01,1643239,141148,147645,151984,123422,132780,155058,147745,138061,118538,105700,86418,65167,47153,32181,19968,14736,8853,6682,2015,9,F
2015-10-01,1661989,141168,149181,152955,125276,134723,157359,149410,140015,119937,106779,87546,66001,48036,32612,20254,14912,9024,6801,2015,10,F
2015-11-01,1670477,142116,149823,153304,125440,135377,158996,150302,140958,120573,107160,88028,66085,48310,32729,20400,14965,9064,6847,2015,11,F
2015-12-01,1665027,138682,149152,152034,125184,134795,159496,149838,140861,120443,107146,88397,66095,48420,32952,20463,14998,9138,6933,2015,12,F
2016-01-01,1677180,142433,150755,152877,125988,135161,160435,150171,141510,120813,107601,88708,66427,48926,33261,20728,15106,9275,7005,2016,1,F
2016-02-01,1682005,144419,151491,153220,126083,135464,160898,150270,141688,120858,107878,88902,66430,49102,33201,20823,15036,9263,6979,2016,2,F
2016-03-01,1714950,147911,155475,156241,129001,138055,164193,153164,144051,122478,109844,90285,67533,49967,33712,21206,15294,9422,7118,2016,3,F
2016-04-01,1723159,148580,156292,156277,130494,139063,164844,153443,144427,123118,110132,90877,68003,50268,33947,21383,15371,9471,7169,2016,4,F
2016-05-01,1737572,151785,158180,157434,132188,139721,166118,154100,145231,123847,110525,91308,68327,50658,34246,21570,15462,9592,7280,2016,5,F
2016-06-01,1737992,150532,158614,157359,131452,139836,166737,154397,145521,123812,110453,91423,68511,50778,34334,21751,15452,9674,7356,2016,6,F
2016-07-01,1756543,154552,160811,158747,132355,141453,168012,155275,146466,124484,111195,92327,69365,51468,34686,22341,15660,9889,7457,2016,7,F
2016-08-01,1757382,152308,161103,158218,134850,142090,168476,155225,146370,124295,110731,92383,69373,51601,34625,22568,15699,9958,7509,2016,8,F
2016-09-01,1771440,154050,163408,159527,136548,142658,169745,155712,147115,124832,111263,93114,70027,52143,35018,22935,15755,10078,7512,2016,9,F
2016-10-01,1779110,153740,164005,159729,136876,143538,170811,156306,147833,125471,111861,94091,70395,52456,35261,23162,15807,10187,7581,2016,10,F
2016-11-01,1774723,153119,163570,158957,135981,143197,170586,155891,147802,125317,111219,94278,70355,52447,35450,23172,15759,10180,7443,2016,11,F
2016-12-01,1782038,153839,164572,159856,136572,143623,171742,156678,148557,125918,111277,94969,70405,52312,35169,23217,15717,10216,7399,2016,12,F
2017-01-01,1784238,153155,164776,159617,136295,144073,172421,156581,148954,126120,111651,95615,70703,52257,35088,23373,15790,10267,7502,2017,1,F
2017-02-01,1797800,155853,166942,161087,137278,144097,173603,157407,150072,126842,111951,96373,71160,52546,35301,23548,15812,10330,7598,2017,2,F
2017-03-01,1811927,157049,168616,161968,138797,144812,175150,158699,151364,127607,112560,97194,71700,53068,35671,23856,15891,10299,7626,2017,3,F
2017-04-01,1840744,159722,171059,164132,141567,147573,178157,161215,153424,129533,114143,98720,72794,53701,36102,24301,16234,10546,7821,2017,4,F
2017-05-01,1860538,161716,173107,166031,143561,148540,179652,162435,154620,130976,115555,100116,73814,54285,36545,24592,16392,10670,7931,2017,5,F
2017-06-01,1869250,163277,175131,167290,145432,149386,180138,162717,154613,130815,115757,100230,74014,54410,36438,24575,16383,10662,7982,2017,6,F
2017-07-01,1886150,165191,177183,167973,147488,150780,181789,164053,155620,131490,116637,101355,74649,54977,36746,24780,16589,10757,8093,2017,7,F
2017-08-01,1886498,165016,177681,167415,148300,150319,181786,163723,155726,131468,116721,101507,74699,55118,37013,24590,16680,10646,8090,2017,8,F
2017-09-01,1890884,164946,178887,167500,149189,150850,183170,164234,156005,131679,116641,101264,74426,54805,36968,24500,16956,10726,8138,2017,9,F
2017-10-01,1895706,164499,179214,167350,149561,150338,183519,164426,156150,132246,117231,102086,74861,55490,37457,24757,17312,10936,8273,2017,10,F
2017-11-01,1909628,165983,180413,167869,149872,150837,185919,165580,157186,133234,118141,102995,75703,56037,37975,25008,17558,11011,8307,2017,11,F
2017-12-01,1925426,166963,182137,168667,150901,152535,188012,166633,158855,134401,119229,103624,76164,56295,38311,25295,17824,11157,8423,2017,12,F
2018-01-01,1925260,167001,183138,169052,151198,152072,187858,166302,158340,134217,118884,103365,76259,56228,38397,25267,17897,11244,8541,2018,1,F
2018-02-01,1929043,168739,183898,169112,151347,151621,188467,166589,158588,134255,118573,103307,76494,56446,38484,25414,17946,11254,8509,2018,2,F
2018-03-01,1935637,167174,184238,168806,152703,151670,189095,167382,159088,134864,119260,103965,77264,57058,38915,25912,18124,11450,8669,2018,3,F
2018-04-01,1968338,172574,187548,171079,156358,154741,191995,169705,160891,136399,120718,105349,78482,57907,39479,26313,18370,11647,8783,2018,4,F
2018-05-01,1973977,173172,187899,171516,157370,154889,192520,169784,161294,136572,121055,105522,78889,58321,39772,26461,18447,11639,8855,2018,5,F
2018-06-01,1992190,175591,189479,172739,159387,156318,194705,171253,162450,137312,122050,106085,79863,58691,40192,26760,18601,11742,8972,2018,6,F
2018-07-01,2003877,176589,190438,173611,160470,157365,195596,172056,163068,137867,122685,106836,80698,59106,40722,26995,18805,11874,9096,2018,7,F
2018-08-01,1996527,175249,189808,173070,160186,155907,194228,171022,162206,137661,122437,106636,81021,59177,40844,27152,18781,11986,9156,2018,8,F
2018-09-01,2018905,176813,191692,174926,161759,158596,196810,172745,164006,139102,124061,107564,81878,59795,41414,27424,18952,12092,9276,2018,9,F
2018-10-01,2028189,176721,193406,176476,163081,159056,197862,173521,164905,139518,123854,107742,82306,59975,41719,27554,19046,12179,9268,2018,10,F
2018-11-01,2048400,178369,195507,178387,163847,160551,199675,175524,166021,141108,124716,108728,83586,60781,42445,28064,19348,12262,9481,2018,11,F
2018-12-01,2057807,178663,196155,179107,163898,161667,200883,176561,167019,141879,125060,108971,84220,61224,42820,28255,19487,12392,9546,2018,12,F
2019-01-01,2058621,178053,196678,179164,163116,161637,201030,177286,166266,141804,125180,109156,84591,61315,43210,28484,19503,12470,9678,2019,1,F
2019-02-01,2067972,179185,197533,179876,163655,162457,202092,177611,166730,142676,125727,109655,85170,61583,43566,28627,19582,12516,9731,2019,2,F
2019-03-01,2084675,179911,199180,180785,164796,163903,204453,179135,168450,143702,126471,110517,85854,62141,44124,28997,19748,12675,9833,2019,3,F
2019-04-01,2093579,180998,200024,180973,166004,164478,204744,180053,167930,144350,127303,111356,86461,62598,44456,29270,19815,12828,9938,2019,4,F
2019-05-01,2091421,178317,199596,180381,166164,163874,204610,180414,167719,144807,127406,110930,87003,62900,44799,29663,19813,12923,10102,2019,5,F
2019-06-01,2100051,179710,200366,180831,164879,164522,205860,181575,168679,145573,127832,111339,87625,63264,45066,29994,19805,13004,10127,2019,6,F
2019-07-01,2106857,181083,200993,181712,165042,164405,206265,182135,168417,146410,128083,112139,87850,63582,45305,30245,19871,13054,10266,2019,7,F
2019-08-01,2116067,181816,201380,182548,166261,165273,207142,183234,168894,147087,128566,112409,88220,63828,45560,30393,19938,13133,10385,2019,8,F
2019-09-01,2124945,182267,202294,183778,166522,165754,207819,184296,169283,148052,128722,112508,88655,64604,45867,30658,20116,13286,10464,2019,9,F
2019-10-01,2129596,181238,202574,184501,165549,165634,208047,185422,169036,148812,129156,113408,89416,65212,46320,31083,20211,13370,10607,2019,10,F
2019-11-01,2137899,182672,203182,185521,165280,166512,209335,186753,169671,149382,129336,113167,89264,65627,46545,31329,20198,13449,10676,2019,11,F
2019-12-01,2102271,179727,199772,182995,162261,163746,206114,184393,166852,147224,126841,111180,87448,64408,45556,30543,19571,13178,10462,2019,12,F
2020-01-01,2120836,180470,201170,185023,162930,164205,207232,186319,167642,148801,127964,112430,88840,65581,46600,31427,19879,13581,10742,2020,1,F
2020-02-01,2123806,181525,201223,185660,162223,164634,207239,187253,167687,149138,127993,112248,89090,65608,46683,31552,19745,13578,10727,2020,2,F
2020-03-01,2133474,183097,202024,186664,163014,165611,207908,188438,168463,149708,128585,112683,89389,65596,46767,31629,19593,13549,10756,2020,3,F
2020-04-01,2002937,169004,189364,175347,153631,155257,194979,177635,158828,141720,121228,106333,84370,61458,43501,29450,18131,12619,10082,2020,4,F
2020-05-01,2018050,167596,190818,176881,155235,153026,194975,179178,160383,143090,122719,108426,86114,62793,44718,30167,18547,12867,10517,2020,5,F
2020-06-01,2077557,170583,195520,181071,160058,157421,199600,183809,163975,146927,126361,112322,89784,65798,47314,32205,19734,13713,11362,2020,6,F
2020-07-01,2092513,171654,197138,182606,162639,159065,200839,185476,165189,148037,126644,112670,90063,65894,47503,32446,19679,13592,11379,2020,7,F
2020-08-01,2073980,169165,194951,180726,162953,157934,198169,183757,163697,147009,125651,111816,89433,65202,47031,32247,19484,13483,11272,2020,8,F
2020-09-01,2072847,168182,194885,180364,164427,158763,198220,183787,163124,147056,125453,111447,89295,64845,46918,31987,19423,13395,11276,2020,9,F
2020-10-01,2093074,169264,196034,182169,167361,160405,198974,185433,164320,148357,126819,112453,90601,65799,47891,32605,19812,13512,11265,2020,10,F
2020-11-01,2066198,167328,193442,179891,166590,159083,196145,183515,162254,146786,124927,110487,88884,64368,46847,31977,19376,13224,11074,2020,11,F
2020-12-01,2107217,170060,197138,183261,170698,163535,200041,187597,164954,149374,126883,111971,90764,65472,47971,32810,19826,13520,11342,2020,12,F
2021-01-01,2057640,165571,192343,179075,166948,159842,195393,184092,161498,146498,124126,109745,88579,63430,46426,31463,19031,12879,10701,2021,1,F
2021-02-01,1969637,161593,186271,172783,144927,146984,189267,179110,156248,141157,118909,105635,85867,61965,45729,31071,18862,12708,10551,2021,2,F
2021-03-01,2006607,165666,189932,176364,143422,150297,193139,183043,159225,143953,120850,108000,87676,63228,46826,31771,19430,12964,10821,2021,3,F
2021-04-01,2007915,166341,190450,176585,143619,151819,193832,183534,159160,143455,120741,107422,87273,62786,46486,31433,19355,12875,10749,2021,4,F
2021-05-01,2042123,168742,193404,179562,148253,155777,196339,186565,161204,145629,122514,109003,88422,63894,47202,31923,19782,13104,10804,2021,5,F
2021-06-01,2045224,168958,193365,180021,146599,155810,196675,187229,161300,146039,122844,109495,89079,64340,47529,32107,20010,13062,10762,2021,6,F
2021-07-01,2075092,171249,195766,182969,149168,158797,199927,189957,163634,148213,124389,110750,90272,65197,48132,32286,20475,13035,10876,2021,7,F
2021-08-01,2101079,172202,197518,185363,151227,161768,202839,192800,165501,149989,125645,111645,91533,66079,49041,32741,20971,13228,10989,2021,8,F
2021-09-01,2110432,170965,197705,187025,151380,162665,203935,194143,166418,150930,126241,112221,92202,66581,49294,32945,21254,13375,11153,2021,9,F
2021-10-01,2126097,174199,198073,187722,152535,164683,205336,195715,167125,151730,126833,112770,93163,67074,49669,33237,21494,13465,11274,2021,10,F
2021-11-01,2149139,175831,199582,189855,153701,166930,207847,198122,168698,153253,128331,113832,94616,67845,50324,33705,21744,13546,11377,2021,11,F
2021-12-01,2144438,175308,198855,189705,153127,166850,207130,197977,168185,153079,128195,113247,94815,67860,49973,33635,21716,13385,11396,2021,12,F
2022-01-01,2167907,176518,200393,191850,153490,168117,209935,201316,170269,155491,129896,114301,95917,68694,50503,34143,22004,13495,11575,2022,1,F
2022-02-01,2159888,176683,199206,191547,152491,167461,208449,200659,169381,154813,129174,113647,95767,68707,50509,34205,22186,13426,11577,2022,2,F
2022-03-01,2204191,180591,202940,195564,155721,171032,212467,205579,172787,157820,131458,115875,97849,70146,51422,34839,22624,13676,11801,2022,3,F
2022-04-01,2208999,179689,203210,196051,155244,171764,212616,206231,173518,158303,131964,116383,98507,70587,51706,35005,22717,13649,11855,2022,4,F
2022-05-01,2217599,182294,204532,197110,156117,173033,213013,207197,173492,157915,131702,116287,98618,70882,51732,35213,22851,13710,11901,2022,5,F
2022-06-01,2235109,183465,206432,198946,157145,174539,214069,208770,174864,158947,132727,117200,99478,71668,52360,35511,23106,13834,12048,2022,6,F
2022-07-01,2246822,184260,207456,200216,157136,175558,216015,210520,176101,159987,133199,117436,99860,71825,52499,35623,23075,13948,12108,2022,7,F
2022-08-01,2264607,185089,209291,202408,158147,177487,217565,212513,177202,161005,133983,118159,100758,72396,52968,36134,23142,14205,12155,2022,8,F
2022-09-01,2270107,184812,209566,203491,157655,178123,218062,213938,177657,161450,134168,118549,101087,72552,52996,36282,23023,14448,12248,2022,9,F
2022-10-01,2278611,184481,210510,204715,157905,178303,218075,215152,178448,162163,135124,119143,101811,72999,53393,36581,23060,14559,12189,2022,10,F
2022-11-01,2285247,184522,211453,205445,157621,179687,219415,216835,179195,162731,135438,119236,101472,72543,53261,36511,23090,14593,12199,2022,11,F
2022-12-01,2290543,184160,211522,206185,157284,180313,219660,217848,179751,163510,135835,119668,101874,72923,53340,36478,23067,14770,12355,2022,12,F
2023-01-01,2287790,183004,211284,206003,155806,179351,219225,218384,179948,163603,135987,119627,101909,73287,53424,36667,23111,14803,12367,2023,1,F
2023-02-01,2288435,182732,211247,206165,155113,178483,218275,218711,180183,163966,136263,119728,102458,73815,53765,36813,23306,14968,12444,2023,2,F
2023-03-01,2316700,185644,214269,208805,156988,180775,220505,221775,182288,165662,137778,121172,103517,74711,54330,37143,23627,15114,12597,2023,3,F
2023-04-01,2281160,181986,210881,205594,154532,179147,217633,218932,180007,163233,135929,119302,101893,73220,52924,35931,22984,14681,12351,2023,4,F
2023-05-01,2306988,184424,213495,208154,156315,180784,219138,221600,181506,165105,137041,120780,102881,74465,53770,36636,23516,14849,12529,2023,5,F
2023-06-01,2309539,184343,213879,208296,156192,180849,218904,222373,182010,165406,137078,120856,102872,74922,53728,36805,23585,14847,12594,2023,6,F
2023-07-01,2292421,182731,212599,207047,155082,178144,216342,220648,181120,164590,136201,120194,102338,74680,53209,36585,23508,14812,12591,2023,7,F
2023-08-01,2278578,180597,211333,206307,154604,175124,213646,219405,180177,163817,136122,120062,102134,74845,53128,36519,23419,14730,12609,2023,8,F
2023-09-01,2290070,181013,212289,207497,155351,176252,215512,221028,180927,164601,136696,120286,102458,75263,53369,36655,23522,14744,12607,2023,9,F
2023-10-01,2293913,180514,212673,208361,155920,175085,214923,221334,181169,165070,137536,120981,103032,75989,53473,36981,23636,14691,12545,2023,10,F
2023-11-01,2291841,180083,212691,208918,155522,174272,214712,221689,181584,165109,137839,120881,102464,75336,53119,36875,23556,14717,12474,2023,11,F
