Periodo de Cobertura,Total Cotizantes,15-19_cotizantes,20-24_cotizantes,25-29_cotizantes,30-34_cotizantes,35-39_cotizantes,40-44_cotizantes,45-49_cotizantes,50-54_cotizantes,55-59_cotizantes,60-64_cotizantes,65-69_cotizantes,70-74_cotizantes,75-79_cotizantes,80-84_cotizantes,85 y mas_cotizantes,No Especificada,Year,Month,Sexo,Total Afiliados,0-4,5-9,10-14,15-19_nocotizantes,20-24_nocotizantes,25-29_nocotizantes,30-34_nocotizantes,35-39_nocotizantes,40-44_nocotizantes,45-49_nocotizantes,50-54_nocotizantes,55-59_nocotizantes,60-64_nocotizantes,65-69_nocotizantes,70-74_nocotizantes,75-79_nocotizantes,80-84_nocotizantes,85 y mas_nocotizantes,Total Afiliados_afiliados,0-4_afiliados,5-9_afiliados,10-14_afiliados,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y Más
2014-07-01,634613,7050,75880,96930,99981,90981,78133,66665,49793,32728,18788,9257,4465,2264,1032,665,1,2014,7,F,873748,132509,136796,147222,102407,44703,40942,39624,35830,33529,32003,29500,25866,22395,17260,12925,9769,6107,4361,1508361,132510,136796,147222,109457,120583,137872,139605,126811,111662,98668,79293,58594,41183,26517,17390,12033,7139,5026
2014-08-01,639790,7368,77139,97924,100258,91418,78617,66954,50204,33096,19007,9322,4464,2285,1053,680,1,2014,8,F,883972,132589,138442,148518,104151,45289,41796,40380,36534,33976,32437,29826,26209,22626,17518,13059,9963,6182,4477,1523762,132590,138442,148518,111519,122428,139720,140638,127952,112593,99391,80030,59305,41633,26840,17523,12248,7235,5157
2014-09-01,642752,7394,77128,98606,100525,91955,78757,67128,50507,33450,19238,9484,4511,2304,1072,692,1,2014,9,F,887465,132718,139140,148756,105030,45736,41786,40174,36539,33983,32606,29909,26478,22775,17699,13197,10087,6315,4537,1530217,132719,139140,148756,112424,122864,140392,140699,128494,112740,99734,80416,59928,42013,27183,17708,12391,7387,5229
2014-10-01,648885,7178,77278,99933,101439,93275,79496,67788,50876,33814,19458,9630,4589,2326,1101,703,1,2014,10,F,893857,132749,140483,149646,106413,46259,42268,40307,36645,34168,32700,29961,26715,23042,17962,13322,10188,6401,4628,1542742,132750,140483,149646,113591,123537,142201,141746,129920,113664,100488,80837,60529,42500,27592,17911,12514,7502,5331
2014-11-01,658576,7588,78612,101771,102849,94727,80721,68578,51425,34182,19610,9783,4566,2342,1101,721,0,2014,11,F,897947,132107,141483,150165,107162,46255,42461,40414,36684,34222,32958,30224,27185,23426,18279,13448,10317,6505,4652,1556523,132107,141483,150165,114750,124867,144232,143263,131411,114943,101536,81649,61367,43036,28062,18014,12659,7606,5373
2014-12-01,663761,7703,79065,102839,103324,95634,81212,69066,51708,34603,19802,9926,4626,2399,1139,715,0,2014,12,F,899513,134526,142030,150005,107229,46010,42251,39923,36578,33919,32909,30129,27171,23451,18240,13474,10420,6559,4689,1563274,134526,142030,150005,114932,125075,145090,143247,132212,115131,101975,81837,61774,43253,28166,18100,12819,7698,5404
2015-01-01,666663,7681,79178,103615,103551,96016,81464,69226,51879,34813,20078,10095,4686,2476,1155,750,0,2015,1,F,904189,134239,142329,149583,106416,47122,43259,39981,36622,33823,32867,30206,27481,23906,19084,14109,11146,6959,5057,1570852,134239,142329,149583,114097,126300,146874,143532,132638,115287,102093,82085,62294,43984,29179,18795,13622,8114,5807
2015-02-01,663686,7660,78834,103454,103002,95618,80987,68729,51608,34608,20047,10088,4659,2491,1159,742,0,2015,2,F,909401,134393,142512,149407,106544,47444,44050,40195,37018,34047,33131,30558,27783,24335,19663,14394,11517,7203,5207,1573087,134393,142512,149407,114204,126278,147504,143197,132636,115034,101860,82166,62391,44382,29751,19053,14008,8362,5949
2015-03-01,670133,7361,78433,103923,103962,96721,82192,69684,52560,35193,20488,10332,4760,2555,1198,771,0,2015,3,F,922579,137148,144506,151159,109447,48221,44747,40460,37127,34051,33293,30714,27947,24648,20042,14596,11757,7356,5360,1592712,137148,144506,151159,116808,126654,148670,144422,133848,116243,102977,83274,63140,45136,30374,19356,14312,8554,6131
2015-04-01,683959,8181,81007,106137,105764,98458,83326,70964,53409,35787,20888,10608,4810,2626,1220,774,0,2015,4,F,930200,139163,145446,151908,110891,48690,44821,40701,37158,34126,33579,30865,28140,24819,20369,14732,11884,7438,5470,1614159,139163,145446,151908,119072,129697,150958,146465,135616,117452,104543,84274,63927,45707,30977,19542,14510,8658,6244
2015-05-01,690418,8374,82077,107319,106388,99334,83836,71445,53897,36190,21228,10767,4898,2626,1256,783,0,2015,5,F,938126,140015,146624,152892,111858,49400,45303,41218,37421,34378,33925,31223,28357,25073,20605,14764,11970,7514,5586,1628544,140015,146624,152892,120232,131477,152622,147606,136755,118214,105370,85120,64547,46301,31372,19662,14596,8770,6369
2015-06-01,694481,8677,82829,107888,106677,99842,84068,71836,54293,36360,21459,10890,4944,2653,1273,792,0,2015,6,F,941419,140335,147080,153203,112443,49514,45762,41221,37634,34382,34021,31381,28453,25209,20741,14841,12008,7570,5621,1635900,140335,147080,153203,121120,132343,153650,147898,137476,118450,105857,85674,64813,46668,31631,19785,14661,8843,6413
2015-07-01,695743,8666,83275,108207,106476,99945,83944,71901,54450,36551,21574,11053,4956,2668,1275,802,0,2015,7,F,941858,139117,147152,152718,112557,49533,46044,41507,37818,34523,34151,31570,28559,25350,20948,14911,12051,7640,5709,1637601,139117,147152,152718,121223,132808,154251,147983,137763,118467,106052,86020,65110,46924,32001,19867,14719,8915,6511
2015-08-01,697909,9066,84034,108797,106554,100146,83997,71852,54578,36547,21639,11073,4915,2636,1279,796,0,2015,8,F,948017,141386,147644,152783,113367,49741,46604,41820,38220,34788,34350,31708,28640,25411,21082,15001,12081,7587,5804,1645926,141386,147644,152783,122433,133775,155401,148374,138366,118785,106202,86286,65187,47050,32155,19916,14717,8866,6600
2015-09-01,694380,8729,83022,108432,105829,99907,83737,71477,54550,36517,21591,11054,4856,2631,1250,798,0,2015,9,F,948859,141148,147645,151984,114693,49758,46626,41916,38154,34801,34223,31868,28650,25562,21127,15112,12105,7603,5884,1643239,141148,147645,151984,123422,132780,155058,147745,138061,118538,105700,86418,65167,47153,32181,19968,14736,8853,6682
2015-10-01,706146,8912,84449,110753,107497,101668,85004,72387,55356,37074,22119,11206,4951,2664,1292,814,0,2015,10,F,955843,141168,149181,152955,116364,50274,46606,41913,38347,34933,34392,32190,28927,25917,21406,15303,12248,7732,5987,1661989,141168,149181,152955,125276,134723,157359,149410,140015,119937,106779,87546,66001,48036,32612,20254,14912,9024,6801
2015-11-01,713324,9031,85279,112353,108710,102731,85699,72910,55874,37214,22284,11337,5068,2712,1296,826,0,2015,11,F,957153,142116,149823,153304,116409,50098,46643,41592,38227,34874,34250,32154,28871,26026,21392,15332,12253,7768,6021,1670477,142116,149823,153304,125440,135377,158996,150302,140958,120573,107160,88028,66085,48310,32729,20400,14965,9064,6847
2015-12-01,713458,8884,84802,112737,108411,102766,85720,72837,56131,37318,22405,11442,5133,2731,1301,840,0,2015,12,F,951569,138682,149152,152034,116300,49993,46759,41427,38095,34723,34309,32266,28777,26015,21510,15330,12267,7837,6093,1665027,138682,149152,152034,125184,134795,159496,149838,140861,120443,107146,88397,66095,48420,32952,20463,14998,9138,6933
2016-01-01,718283,8902,85314,113711,108930,103373,86150,73305,56415,37628,22748,11619,5220,2754,1348,866,0,2016,1,F,958897,142433,150755,152877,117086,49847,46724,41241,38137,34663,34296,32293,28799,26178,21642,15508,12352,7927,6139,1677180,142433,150755,152877,125988,135161,160435,150171,141510,120813,107601,88708,66427,48926,33261,20728,15106,9275,7005
2016-02-01,715043,8752,85023,113515,108519,102956,85634,72936,56093,37292,22643,11510,5208,2759,1349,854,0,2016,2,F,966962,144419,151491,153220,117331,50441,47383,41751,38732,35224,34942,32809,29138,26459,21691,15615,12277,7914,6125,1682005,144419,151491,153220,126083,135464,160898,150270,141688,120858,107878,88902,66430,49102,33201,20823,15036,9263,6979
2016-03-01,732811,8994,86926,116419,111324,105424,87463,74805,57518,38282,23261,11910,5362,2840,1393,890,0,2016,3,F,982139,147911,155475,156241,120007,51129,47774,41840,38627,35015,35039,32767,29251,26706,21802,15844,12454,8029,6228,1714950,147911,155475,156241,129001,138055,164193,153164,144051,122478,109844,90285,67533,49967,33712,21206,15294,9422,7118
2016-04-01,736305,9459,87499,116674,111410,105671,87905,75078,57902,38626,23496,12038,5405,2865,1391,886,0,2016,4,F,986854,148580,156292,156277,121035,51564,48170,42033,38756,35213,35054,32975,29377,26772,21909,15978,12506,8080,6283,1723159,148580,156292,156277,130494,139063,164844,153443,144427,123118,110132,90877,68003,50268,33947,21383,15371,9471,7169
2016-05-01,741079,9609,88098,117813,112039,106283,88425,75299,58222,38778,23701,12169,5455,2899,1395,894,0,2016,5,F,996493,151785,158180,157434,122579,51623,48305,42061,38948,35422,35226,33086,29549,26957,22077,16115,12563,8197,6386,1737572,151785,158180,157434,132188,139721,166118,154100,145231,123847,110525,91308,68327,50658,34246,21570,15462,9592,7280
2016-06-01,741298,9528,87944,117951,111958,106382,88347,75222,58344,38847,23796,12237,5526,2907,1401,908,0,2016,6,F,996694,150532,158614,157359,121924,51892,48786,42439,39139,35465,35231,33079,29664,26982,22097,16225,12545,8273,6448,1737992,150532,158614,157359,131452,139836,166737,154397,145521,123812,110453,91423,68511,50778,34334,21751,15452,9674,7356
2016-07-01,746631,10012,89304,118700,112354,106996,88634,75457,58664,39205,23965,12341,5662,2942,1465,930,0,2016,7,F,1009912,154552,160811,158747,122343,52149,49312,42921,39470,35850,35738,33663,30160,27503,22345,16679,12718,8424,6527,1756543,154552,160811,158747,132355,141453,168012,155275,146466,124484,111195,92327,69365,51468,34686,22341,15660,9889,7457
2016-08-01,744378,9811,89104,118541,111717,106414,88249,75001,58719,39249,24057,12364,5719,2994,1491,948,0,2016,8,F,1013004,152308,161103,158218,125039,52986,49935,43508,39956,36046,35730,33664,30124,27544,22261,16849,12705,8467,6561,1757382,152308,161103,158218,134850,142090,168476,155225,146370,124295,110731,92383,69373,51601,34625,22568,15699,9958,7509
2016-09-01,749401,9783,89512,119683,112177,107224,88671,75336,59169,39624,24343,12570,5844,3014,1508,943,0,2016,9,F,1022039,154050,163408,159527,126765,53146,50062,43535,39891,36161,35927,33945,30403,27800,22448,17091,12741,8570,6569,1771440,154050,163408,159527,136548,142658,169745,155712,147115,124832,111263,93114,70027,52143,35018,22935,15755,10078,7512
2016-10-01,754449,10126,90074,120630,112524,107612,89206,75767,59936,39812,24580,12729,5918,3043,1536,956,0,2016,10,F,1024661,153740,164005,159729,126750,53464,50181,43782,40221,36265,36094,34155,30583,27876,22532,17244,12764,8651,6625,1779110,153740,164005,159729,136876,143538,170811,156306,147833,125471,111861,94091,70395,52456,35261,23162,15807,10187,7581
2016-11-01,753052,9848,90025,120596,112406,108046,89377,75423,60071,39548,24268,12309,5768,2937,1505,925,0,2016,11,F,1021671,153119,163570,158957,126133,53172,49990,43485,39756,35940,35796,34207,30807,28179,23141,17404,12822,8675,6518,1774723,153119,163570,158957,135981,143197,170586,155891,147802,125317,111219,94278,70355,52447,35450,23172,15759,10180,7443
2016-12-01,757874,10014,90727,121842,113281,108773,89880,75566,60567,39703,24282,12133,5767,2910,1510,919,0,2016,12,F,1024164,153839,164572,159856,126558,52896,49900,43397,39784,36038,35711,34402,30702,28030,23036,17450,12807,8706,6480,1782038,153839,164572,159856,136572,143623,171742,156678,148557,125918,111277,94969,70405,52312,35169,23217,15717,10216,7399
2017-01-01,762578,10250,91354,122748,113381,109171,90226,75959,61251,40157,24472,12273,5888,2971,1545,932,0,2017,1,F,1021660,153155,164776,159617,126045,52719,49673,43200,39783,35894,35692,34364,30546,27785,22815,17485,12819,8722,6570,1784238,153155,164776,159617,136295,144073,172421,156581,148954,126120,111651,95615,70703,52257,35088,23373,15790,10267,7502
2017-02-01,763461,10073,90863,122935,113737,109778,90419,75738,61308,40304,24555,12321,5939,2978,1567,946,0,2017,2,F,1034339,155853,166942,161087,127205,53234,50668,43670,40294,36423,36213,35065,30856,27991,22980,17609,12834,8763,6652,1797800,155853,166942,161087,137278,144097,173603,157407,150072,126842,111951,96373,71160,52546,35301,23548,15812,10330,7598
2017-03-01,770669,10257,91109,123979,114784,110945,91283,76767,62047,40640,24752,12433,6082,3023,1594,974,0,2017,3,F,1041258,157049,168616,161968,128540,53703,51171,43915,40419,36324,35793,35147,31060,28316,23238,17774,12868,8705,6652,1811927,157049,168616,161968,138797,144812,175150,158699,151364,127607,112560,97194,71700,53068,35671,23856,15891,10299,7626
2017-04-01,787317,10993,93640,126675,117204,113050,93125,78009,63292,41495,25256,12644,6227,3101,1619,987,0,2017,4,F,1053427,159722,171059,164132,130574,53933,51482,44011,40374,36408,36134,35428,31299,28445,23458,18074,13133,8927,6834,1840744,159722,171059,164132,141567,147573,178157,161215,153424,129533,114143,98720,72794,53701,36102,24301,16234,10546,7821
2017-05-01,793678,10975,93924,127656,117874,113816,94131,78977,64234,42064,25533,12702,6173,3073,1572,974,0,2017,5,F,1066860,161716,173107,166031,132586,54616,51996,44561,40804,36845,36578,35882,31750,28752,23843,18419,13319,9098,6957,1860538,161716,173107,166031,143561,148540,179652,162435,154620,130976,115555,100116,73814,54285,36545,24592,16392,10670,7931
2017-06-01,793401,11224,94321,127741,117647,113508,93751,78830,64153,42164,25559,12695,6178,3077,1570,983,0,2017,6,F,1075849,163277,175131,167290,134208,55065,52397,45070,41105,37064,36927,36077,31850,28851,23743,18397,13306,9092,6999,1869250,163277,175131,167290,145432,149386,180138,162717,154613,130815,115757,100230,74014,54410,36438,24575,16383,10662,7982
2017-07-01,798949,11313,95181,128561,118282,113934,94128,79327,64731,42637,25878,12839,6350,3163,1595,1029,1,2017,7,F,1087201,165190,177183,167973,136175,55599,53228,45771,41686,37362,37310,36624,32012,29099,23907,18430,13426,9162,7064,1886150,165191,177183,167973,147488,150780,181789,164053,155620,131490,116637,101355,74649,54977,36746,24780,16589,10757,8093
2017-08-01,791088,11350,94545,127964,116994,112756,93168,78420,63866,41893,25353,12666,6299,3196,1570,1048,0,2017,8,F,1095410,165016,177681,167415,136950,55774,53822,46729,42970,38300,38301,37641,32806,29765,24347,18291,13484,9076,7042,1886498,165016,177681,167415,148300,150319,181786,163723,155726,131468,116721,101507,74699,55118,37013,24590,16680,10646,8090
2017-09-01,796768,11414,94803,129081,117823,113483,93987,78913,64439,42341,25531,12771,6308,3257,1570,1047,0,2017,9,F,1094116,164946,178887,167500,137775,56047,54089,46411,42522,37692,37728,36825,32085,29274,24197,18192,13699,9156,7091,1890884,164946,178887,167500,149189,150850,183170,164234,156005,131679,116641,101264,74426,54805,36968,24500,16956,10726,8138
2017-10-01,800117,11126,94295,129468,118090,113743,94437,79447,65087,42812,26018,13020,6451,3376,1665,1082,0,2017,10,F,1095589,164499,179214,167350,138435,56043,54051,46336,42407,37809,37784,36999,32049,29472,24437,18306,13936,9271,7191,1895706,164499,179214,167350,149561,150338,183519,164426,156150,132246,117231,102086,74861,55490,37457,24757,17312,10936,8273
2017-11-01,806685,10860,94756,131784,119355,114828,95429,80203,65444,42599,25822,12988,6470,3382,1672,1093,0,2017,11,F,1102943,165983,180413,167869,139012,56081,54135,46225,42358,37805,37938,37551,33104,30215,24987,18538,14176,9339,7214,1909628,165983,180413,167869,149872,150837,185919,165580,157186,133234,118141,102995,75703,56037,37975,25008,17558,11011,8307
2017-12-01,818023,11510,96459,133787,120305,116218,96446,81166,66116,43404,26272,13352,6645,3501,1721,1121,0,2017,12,F,1107403,166963,182137,168667,139391,56076,54225,46328,42637,37955,38063,37508,32760,30023,24959,18650,14323,9436,7302,1925426,166963,182137,168667,150901,152535,188012,166633,158855,134401,119229,103624,76164,56295,38311,25295,17824,11157,8423
2018-01-01,815352,11133,96055,133728,120125,115786,96264,80647,65906,43348,26118,13342,6581,3506,1701,1112,0,2018,1,F,1109908,167001,183138,169052,140065,56017,54130,46177,42554,37953,38237,37459,32911,30110,25055,18686,14391,9543,7429,1925260,167001,183138,169052,151198,152072,187858,166302,158340,134217,118884,103365,76259,56228,38397,25267,17897,11244,8541
2018-02-01,813263,10952,95306,133733,120097,115717,95964,80174,65608,43330,26116,13339,6630,3503,1696,1098,0,2018,2,F,1115780,168739,183898,169112,140395,56315,54734,46492,42871,38291,38399,37699,33164,30330,25145,18784,14443,9558,7411,1929043,168739,183898,169112,151347,151621,188467,166589,158588,134255,118573,103307,76494,56446,38484,25414,17946,11254,8509
2018-03-01,824704,11490,96545,135406,121578,117003,97187,81257,66474,44058,26648,13687,6877,3575,1777,1142,0,2018,3,F,1110933,167174,184238,168806,141213,55125,53689,45804,42085,37677,38003,37491,33206,30410,25228,19035,14549,9673,7527,1935637,167174,184238,168806,152703,151670,189095,167382,159088,134864,119260,103965,77264,57058,38915,25912,18124,11450,8669
2018-04-01,831784,11863,97330,136146,122539,117776,97978,81949,67068,44610,27082,13894,6976,3638,1795,1140,0,2018,4,F,1136554,172574,187548,171079,144495,57411,55849,47166,43115,38421,38769,38281,33872,30825,25585,19337,14732,9852,7643,1968338,172574,187548,171079,156358,154741,191995,169705,160891,136399,120718,105349,78482,57907,39479,26313,18370,11647,8783
2018-05-01,833761,11884,97239,136643,122633,118068,98100,82158,67218,44896,27302,13970,7034,3697,1767,1152,0,2018,5,F,1140216,173172,187899,171516,145486,57650,55877,47151,43226,38472,38897,38304,33993,31019,25802,19427,14750,9872,7703,1973977,173172,187899,171516,157370,154889,192520,169784,161294,136572,121055,105522,78889,58321,39772,26461,18447,11639,8855
2018-06-01,841227,12290,98211,137941,123516,118894,98668,82802,67618,45502,27600,14243,7172,3777,1798,1194,1,2018,6,F,1150963,175591,189479,172738,147097,58107,56764,47737,43556,38644,39248,38467,34361,31091,25949,19588,14824,9944,7778,1992190,175591,189479,172739,159387,156318,194705,171253,162450,137312,122050,106085,79863,58691,40192,26760,18601,11742,8972
2018-07-01,845539,12367,98703,138341,123885,119263,99047,83154,68188,45986,27852,14531,7296,3858,1842,1225,1,2018,7,F,1158338,176589,190438,173610,148103,58662,57255,48171,43805,38820,39531,38648,34712,31254,26191,19699,14947,10032,7871,2003877,176589,190438,173611,160470,157365,195596,172056,163068,137867,122685,106836,80698,59106,40722,26995,18805,11874,9096
2018-08-01,847851,12627,98853,138762,123886,119418,99444,83231,68236,46393,28041,14627,7397,3851,1865,1220,0,2018,8,F,1148676,175249,189808,173070,147559,57054,55466,47136,42788,38217,39206,38400,34628,31136,26217,19755,14930,10121,7936,1996527,175249,189808,173070,160186,155907,194228,171022,162206,137661,122437,106636,81021,59177,40844,27152,18781,11986,9156
2018-09-01,852509,12722,99465,139157,124126,119843,99968,84235,68642,46685,28352,14860,7453,3877,1897,1226,1,2018,9,F,1166396,176813,191692,174925,149037,59131,57653,48619,44163,39134,39826,38922,35193,31443,26554,19971,15075,10195,8050,2018905,176813,191692,174926,161759,158596,196810,172745,164006,139102,124061,107564,81878,59795,41414,27424,18952,12092,9276
2018-10-01,856495,12520,99834,140137,125016,120807,100342,84030,68807,47047,28406,15034,7474,3924,1903,1214,0,2018,10,F,1171694,176721,193406,176476,150561,59222,57725,48505,44098,39176,39824,38935,35259,31569,26685,20080,15122,10276,8054,2028189,176721,193406,176476,163081,159056,197862,173521,164905,139518,123854,107742,82306,59975,41719,27554,19046,12179,9268
2018-11-01,866505,12549,101183,141527,126633,121719,101559,84588,69466,47886,28965,15484,7710,4032,1932,1272,0,2018,11,F,1181895,178369,195507,178387,151298,59368,58148,48891,44302,39549,40128,39262,35700,31816,26961,20354,15316,10330,8209,2048400,178369,195507,178387,163847,160551,199675,175524,166021,141108,124716,108728,83586,60781,42445,28064,19348,12262,9481
2018-12-01,873770,12731,102406,142790,127630,122777,102324,84966,69753,48303,29224,15720,7788,4113,1965,1280,0,2018,12,F,1184037,178663,196155,179107,151167,59261,58093,48931,44242,39555,40094,39218,35917,32000,27100,20467,15374,10427,8266,2057807,178663,196155,179107,163898,161667,200883,176561,167019,141879,125060,108971,84220,61224,42820,28255,19487,12392,9546
2019-01-01,874120,12260,102299,142920,128461,121982,102287,85070,69790,48579,29286,15942,7861,4091,1992,1300,0,2019,1,F,1184501,178053,196678,179164,150856,59338,58110,48825,44284,39517,40110,39366,36012,32029,27268,20623,15412,10478,8378,2058621,178053,196678,179164,163116,161637,201030,177286,166266,141804,125180,109156,84591,61315,43210,28484,19503,12470,9678
2019-02-01,877589,12739,102881,143490,128243,122232,102872,85434,70002,48870,29388,16068,7897,4127,2012,1334,0,2019,2,F,1190383,179185,197533,179876,150916,59576,58602,49368,44498,39804,40293,39653,36300,32195,27498,20730,15455,10504,8397,2067972,179185,197533,179876,163655,162457,202092,177611,166730,142676,125727,109655,85170,61583,43566,28627,19582,12516,9731
2019-03-01,886377,12828,103230,145413,129231,123670,103777,86070,70741,49457,29775,16391,8098,4253,2083,1360,0,2019,3,F,1198298,179911,199180,180785,151968,60673,59040,49904,44780,39925,40401,39776,36397,32366,27733,20899,15495,10592,8473,2084675,179911,199180,180785,164796,163903,204453,179135,168450,143702,126471,110517,85854,62141,44124,28997,19748,12675,9833
2019-04-01,891086,13109,103939,145449,130111,123288,104388,86771,71520,49890,30077,16652,8185,4248,2098,1361,0,2019,4,F,1202493,180998,200024,180973,152895,60539,59295,49942,44642,39962,40532,39836,36571,32521,27804,21085,15567,10730,8577,2093579,180998,200024,180973,166004,164478,204744,180053,167930,144350,127303,111356,86461,62598,44456,29270,19815,12828,9938
2019-05-01,893234,13176,103776,145626,130606,123374,104878,86926,71142,50309,30368,16883,8326,4306,2132,1406,0,2019,5,F,1198187,178317,199596,180381,152988,60098,58984,49808,44345,39929,40480,39788,36694,32532,27916,21337,15507,10791,8696,2091421,178317,199596,180381,166164,163874,204610,180414,167719,144807,127406,110930,87003,62900,44799,29663,19813,12923,10102
2019-06-01,897692,13246,104115,146711,131278,124077,105320,87195,71342,50588,30397,17008,8525,4334,2141,1415,0,2019,6,F,1202359,179710,200366,180831,151633,60407,59149,50297,44602,40253,40637,39997,37037,32867,28058,21469,15471,10863,8712,2100051,179710,200366,180831,164879,164522,205860,181575,168679,145573,127832,111339,87625,63264,45066,29994,19805,13004,10127
2019-07-01,900091,13113,103810,146656,131536,123701,105974,87580,72111,51056,30708,17225,8612,4371,2196,1442,0,2019,7,F,1206766,181083,200993,181712,151929,60595,59609,50599,44716,40436,40503,40028,36794,32874,28080,21633,15500,10858,8824,2106857,181083,200993,181712,165042,164405,206265,182135,168417,146410,128083,112139,87850,63582,45305,30245,19871,13054,10266
2019-08-01,903604,13485,104581,147254,132044,123877,106352,87702,71812,51295,30918,17443,8745,4427,2222,1447,0,2019,8,F,1212463,181816,201380,182548,152776,60692,59888,51190,45017,40735,40864,40597,36925,32910,28117,21648,15511,10911,8938,2116067,181816,201380,182548,166261,165273,207142,183234,168894,147087,128566,112409,88220,63828,45560,30393,19938,13133,10385
2019-09-01,908670,13377,104867,147842,133071,124206,107088,88025,72289,51684,31418,17690,8867,4493,2299,1454,0,2019,9,F,1216275,182267,202294,183778,153145,60887,59977,51225,45077,40964,40697,40219,36971,33186,28177,21791,15623,10987,9010,2124945,182267,202294,183778,166522,165754,207819,184296,169283,148052,128722,112508,88655,64604,45867,30658,20116,13286,10464
2019-10-01,912204,12989,104644,147918,133865,124087,107679,88422,73082,52454,31797,17885,9063,4511,2299,1509,0,2019,10,F,1217392,181238,202574,184501,152560,60990,60129,51557,44949,41133,40734,40326,36962,33415,28435,22020,15700,11071,9098,2129596,181238,202574,184501,165549,165634,208047,185422,169036,148812,129156,113408,89416,65212,46320,31083,20211,13370,10607
2019-11-01,918728,12931,105666,149827,135571,125045,108375,88748,72688,52339,32033,18004,9130,4523,2344,1504,0,2019,11,F,1219171,182672,203182,185521,152349,60846,59508,51182,44626,41007,40588,40479,36925,33594,28541,22199,15675,11105,9172,2137899,182672,203182,185521,165280,166512,209335,186753,169671,149382,129336,113167,89264,65627,46545,31329,20198,13449,10676
2019-12-01,889606,12628,102427,145953,132543,121719,105736,85997,70396,50318,30479,16513,7950,3733,1961,1253,0,2019,12,F,1212665,179727,199772,182995,149633,61319,60161,51850,45133,41488,40844,40784,37130,33929,29043,22593,15838,11217,9209,2102271,179727,199772,182995,162261,163746,206114,184393,166852,147224,126841,111180,87448,64408,45556,30543,19571,13178,10462
2020-01-01,909735,12731,103766,148221,135320,123371,107903,87570,72047,51939,31902,17890,8952,4354,2307,1462,0,2020,1,F,1211101,180470,201170,185023,150199,60439,59011,50999,44271,40898,40394,40383,36901,33679,28710,22475,15525,11274,9280,2120836,180470,201170,185023,162930,164205,207232,186319,167642,148801,127964,112430,88840,65581,46600,31427,19879,13581,10742
2020-02-01,910308,12581,103852,148189,136045,123527,108279,87680,71753,51959,31787,17798,8881,4284,2262,1431,0,2020,2,F,1213498,181525,201223,185660,149642,60782,59050,51208,44160,40859,40313,40495,37131,33821,28885,22671,15461,11316,9296,2123806,181525,201223,185660,162223,164634,207239,187253,167687,149138,127993,112248,89090,65608,46683,31552,19745,13578,10727
2020-03-01,913162,12611,104142,148200,136586,124022,108720,88220,72066,52175,31892,17876,8825,4160,2245,1422,0,2020,3,F,1220312,183097,202024,186664,150403,61469,59708,51852,44441,40988,40365,40617,37214,33704,28891,22804,15433,11304,9334,2133474,183097,202024,186664,163014,165611,207908,188438,168463,149708,128585,112683,89389,65596,46767,31629,19593,13549,10756
2020-04-01,860709,11077,95931,138799,128971,117552,103695,84098,68821,49818,30192,16675,8157,3713,1985,1225,0,2020,4,F,1142228,169004,189364,175347,142554,59326,56180,48664,41276,38025,37130,37512,34552,31266,26826,21293,14418,10634,8857,2002937,169004,189364,175347,153631,155257,194979,177635,158828,141720,121228,106333,84370,61458,43501,29450,18131,12619,10082
2020-05-01,665237,5818,61015,98727,97745,91967,83141,69132,58957,44069,27005,14737,7030,3155,1662,1077,0,2020,5,F,1352813,167596,190818,176881,149417,92011,96248,81433,68416,59949,53587,49469,42045,35788,29981,23137,15392,11205,9440,2018050,167596,190818,176881,155235,153026,194975,179178,160383,143090,122719,108426,86114,62793,44718,30167,18547,12867,10517
2020-06-01,673239,5750,61022,98968,98370,92842,84501,70145,60040,45005,27525,15276,7471,3379,1786,1159,0,2020,6,F,1404318,170583,195520,181071,154308,96399,100632,85439,71133,62426,56216,52282,44779,38273,32038,24734,16355,11927,10203,2077557,170583,195520,181071,160058,157421,199600,183809,163975,146927,126361,112322,89784,65798,47314,32205,19734,13713,11362
2020-07-01,768849,7853,77385,118402,114338,105288,94430,77219,64865,48058,29317,16445,8220,3744,1982,1303,0,2020,7,F,1323664,171654,197138,182606,154786,81680,82437,71138,59901,53607,49425,47805,42005,36577,31058,24226,15935,11610,10076,2092513,171654,197138,182606,162639,159065,200839,185476,165189,148037,126644,112670,90063,65894,47503,32446,19679,13592,11379
2020-08-01,795558,8336,81937,123954,118808,108872,97387,79478,66208,49035,29666,16573,8330,3724,1957,1293,0,2020,8,F,1278422,169165,194951,180726,154617,75997,74215,64949,54825,49622,46173,45608,40398,35536,30458,23917,15760,11526,9979,2073980,169165,194951,180726,162953,157934,198169,183757,163697,147009,125651,111816,89433,65202,47031,32247,19484,13483,11272
2020-09-01,791072,8400,81783,123732,118443,108077,97164,79131,65858,48713,29266,16145,7858,3486,1804,1212,0,2020,9,F,1281775,168182,194885,180364,156027,76980,74488,65344,55047,49892,46322,45589,40582,35579,30773,24129,15937,11591,10064,2072847,168182,194885,180364,164427,158763,198220,183787,163124,147056,125453,111447,89295,64845,46918,31987,19423,13395,11276
