Periodo de Cobertura,SFS,Tasa_Dep_Regimen_Subsidiado,RC_Tasa_Dependencia,RC_Tasa_Dependencia_Directa,Year,Month
2007-09-01,0.8286889056164115,1.411069336630252,0.5363451264070487,0.5330054724033427,2007,9
2007-10-01,0.8541976519976029,1.472108257197035,0.5697696826249696,0.5664823492871021,2007,10
2007-11-01,0.8771971650379369,1.5130341412976478,0.5909782562482239,0.5865431305900597,2007,11
2007-12-01,0.8363907350824293,1.2842665529392143,0.6057868641640333,0.601161416702268,2007,12
2008-01-01,0.8523397444435884,1.3060553097438987,0.6191836605674286,0.6137838347483261,2008,1
2008-02-01,0.8995672790778093,1.3937803174873933,0.6449765821338816,0.6371999174003972,2008,2
2008-03-01,0.9166451970338177,1.4532782675774578,0.6475457352880962,0.6387779643082652,2008,3
2008-04-01,0.8942220319194634,1.3552130984867279,0.6494006519945066,0.6397704001239485,2008,4
2008-05-01,0.9270036121595282,1.3819674449266386,0.6842620909212627,0.6736551061654825,2008,5
2008-06-01,0.9348199229101422,1.3975155900024177,0.6937692508673625,0.6822741604565975,2008,6
2008-07-01,0.950420672255585,1.4115473644937797,0.7121525568128818,0.6985792374646831,2008,7
2008-08-01,0.9527528248357716,1.4538394664713292,0.6981156773273829,0.6832760993927544,2008,8
2008-09-01,0.9634317344431151,1.461889194248294,0.7094001613620272,0.6940265177086592,2008,9
2008-10-01,0.9695051193728149,1.4696206078721228,0.7182543123455141,0.7020638254679592,2008,10
2008-11-01,0.9869688122648719,1.4963444800732937,0.7305829620308164,0.7127491689245412,2008,11
2008-12-01,1.0032360525927224,1.4995315838995487,0.7515561830199576,0.7321129518726983,2008,12
2009-01-01,1.0149627110631703,1.4975392600342596,0.774038697889355,0.7537536461064499,2009,1
2009-02-01,1.0307268853089253,1.5244471896232241,0.7863706674655628,0.7646404865114933,2009,2
2009-03-01,1.045771984413524,1.5482928546286518,0.7992373452952697,0.7758650462793665,2009,3
2009-04-01,1.064869385586328,1.5632234973675907,0.823320587643389,0.7946166230629905,2009,4
2009-05-01,1.0810120810243682,1.5771793222730763,0.8388666944985338,0.8076645305200801,2009,5
2009-06-01,1.0966272396918981,1.5948665374914393,0.8574567162264287,0.8241837874028534,2009,6
2009-07-01,1.1046820573121217,1.6041928022787795,0.8716220869034854,0.8367485465259265,2009,7
2009-08-01,1.0944405544533915,1.5764952231383327,0.8757366613982359,0.8397624211031284,2009,8
2009-09-01,1.1022713770586654,1.581198913487256,0.8870949024246894,0.8494695407053574,2009,9
2009-10-01,1.0599123519027869,1.3483712517449,0.9058821221708172,0.8666530292373408,2009,10
2009-11-01,1.0662072807421221,1.3403849162885308,0.9196814984808926,0.8789211086231407,2009,11
2009-12-01,1.0524326080964899,1.2574186277929873,0.9343230190384976,0.8914479595258252,2009,12
2010-01-01,1.076313836121949,1.2930777037290808,0.9525793680077929,0.9084131564188093,2010,1
2010-02-01,1.0817597826563252,1.3076764121853963,0.9536270367030019,0.9083610692719374,2010,2
2010-03-01,1.1018515144100196,1.350353742289195,0.9635950803481317,0.9174794211729413,2010,3
2010-04-01,1.1142281766084037,1.3799333783100016,0.9689598884939321,0.9226169523625437,2010,4
2010-05-01,1.1107287868098117,1.3276373579556457,0.9856249329854534,0.9358661853533007,2010,5
2010-06-01,1.1054687149081435,1.279530383122604,1.00001172134222,0.9481141262009868,2010,6
2010-07-01,1.0939811037287432,1.229990513213349,1.0048418276738145,0.9507804097151005,2010,7
2010-08-01,1.046452610244957,1.0866258804298181,1.0166872385104917,0.9611432601830627,2010,8
2010-09-01,1.0422521384582157,1.0621651942224093,1.0271810415507663,0.9701611740596706,2010,9
2010-10-01,1.046781374693689,1.0623512063085665,1.0347804080567309,0.976023272178319,2010,10
2010-11-01,1.068836311810952,1.098331857100679,1.046082795908034,0.9859892742699864,2010,11
2010-12-01,1.1291987640745076,1.229489067257127,1.0506227550415879,0.9895408032711662,2010,12
2011-01-01,1.1358447950788684,1.240244486255998,1.0544253185439232,0.9923549458421064,2011,1
2011-02-01,1.1417395279089089,1.2448646521735243,1.061887776255348,0.9985579715350852,2011,2
2011-03-01,1.1448751617013413,1.246800445955914,1.0669901654871485,1.0020556130848868,2011,3
2011-04-01,1.1485000754898127,1.2497113368847814,1.0722808368913572,1.005919624428758,2011,4
2011-05-01,1.1578654110605848,1.2500554968820843,1.086723526042667,1.017505108865114,2011,5
2011-06-01,1.1641855200099582,1.2527868049281499,1.0966024610257588,1.0259259703703196,2011,6
2011-07-01,1.1637208961921655,1.2497103562311116,1.0985952914636943,1.0267242393242235,2011,7
2011-08-01,1.1691767862043312,1.2535571245531194,1.1057519646758232,1.0324542978730569,2011,8
2011-09-01,1.173561933399178,1.2483986332906751,1.1172370228052253,1.0425483875332338,2011,9
2011-10-01,1.1702686171199852,1.2500281644443043,1.1106250194815752,1.0335933965673676,2011,10
2011-11-01,1.1772646260241078,1.2546477365260533,1.1194692952785197,1.040343546027981,2011,11
2011-12-01,1.1817510568885972,1.2668971174789962,1.1184277293210305,1.0384349662766283,2011,12
2012-01-01,1.1849791679351467,1.2684966866612455,1.1229747058729425,1.041104114200361,2012,1
2012-02-01,1.1661751296282203,1.2123142342373519,1.1303465691177348,1.0474249382971095,2012,2
2012-03-01,1.1276015880734942,1.1189519333378743,1.1348681373362084,1.050631116271355,2012,3
2012-04-01,1.1006527708448255,1.0593855691515697,1.1373305978559252,1.052074518367465,2012,4
2012-05-01,1.0802291764401928,1.0125775334927998,1.1436188644985625,1.0568853674777783,2012,5
