Periodo de Cobertura,Total Cotizantes,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y mas,No Especificada,Year,Month,Sexo
2007-09-01,486512,9157,69747,89982,77986,66429,55521,40090,30696,20737,12425,6952,3694,1884,662,548,2,2007,9,M
2007-10-01,518603,9846,70943,92605,81501,70281,60337,45110,34834,23532,13996,8014,4156,2117,725,604,2,2007,10,M
2007-11-01,523979,9796,72363,93966,82368,71115,60747,45456,34851,23637,14052,7992,4195,2111,723,605,2,2007,11,M
2007-12-01,539488,10666,74523,96694,84717,72920,62213,46762,35947,24520,14487,8262,4294,2135,729,617,2,2007,12,M
2008-01-01,536970,9854,73548,96092,84815,72884,62137,46674,35827,24442,14489,8329,4354,2159,745,619,2,2008,1,M
2008-02-01,531330,9658,73120,95495,84007,71974,61558,46110,35419,23937,14227,8109,4269,2117,726,602,2,2008,2,M
2008-03-01,545271,9901,74690,97456,85963,73887,63287,47539,36390,24719,14873,8520,4469,2191,761,623,2,2008,3,M
2008-04-01,555570,11293,77405,99177,87312,74609,64058,48309,36867,24857,15040,8591,4473,2186,767,625,1,2008,4,M
2008-05-01,549271,10346,75279,97818,86066,73989,63510,48345,37016,24942,15201,8596,4534,2216,776,636,1,2008,5,M
2008-06-01,562936,10814,76739,99749,87814,75658,64928,49834,38167,25844,15877,9010,4733,2298,810,659,2,2008,6,M
2008-07-01,556411,10583,75761,98212,86551,74750,64038,49501,37921,25708,15779,9055,4737,2336,818,659,2,2008,7,M
2008-08-01,566372,11858,77896,99689,87544,75564,64844,50321,38457,26176,16095,9240,4809,2376,841,660,2,2008,8,M
2008-09-01,560752,11558,77121,98585,86776,74924,64082,49971,38140,25961,16001,9087,4726,2343,825,651,1,2008,9,M
2008-10-01,564960,10760,76357,99029,87849,75721,64797,50789,38727,26560,16316,9259,4860,2404,860,670,2,2008,10,M
2008-11-01,562181,11040,76244,97829,86976,74925,64283,50805,38742,26728,16474,9289,4911,2412,868,654,1,2008,11,M
2008-12-01,555896,10824,75280,96475,86047,73942,63404,50357,38487,26553,16394,9259,4924,2416,877,656,1,2008,12,M
2009-01-01,562506,10960,76171,97369,87078,74758,64112,50923,38987,27056,16633,9411,5026,2456,898,666,2,2009,1,M
2009-02-01,561337,10843,75759,96680,86695,74678,64185,51000,39069,27196,16673,9498,5022,2474,905,658,2,2009,2,M
2009-03-01,564450,10614,75188,97006,87425,75437,64710,51678,39336,27556,16827,9483,5080,2517,930,661,2,2009,3,M
2009-04-01,571817,10732,76024,97762,88843,76521,65463,52526,39927,28015,17049,9607,5163,2568,938,677,2,2009,4,M
2009-05-01,563115,10462,74952,95745,87437,75159,64327,51839,39374,27870,16999,9555,5219,2570,932,673,2,2009,5,M
2009-06-01,571694,10295,75457,96792,88862,76478,65340,52995,40083,28512,17530,9767,5326,2601,981,674,1,2009,6,M
2009-07-01,584781,10433,76578,98048,90430,77876,67017,54588,41564,29499,18316,10243,5615,2781,1055,737,1,2009,7,M
2009-08-01,614216,11020,78580,100712,93520,81106,70567,57903,44813,32382,20424,11589,6387,3170,1225,816,2,2009,8,M
2009-09-01,620609,11204,79620,101155,94602,81850,71203,58573,45305,32813,20649,11799,6513,3255,1238,827,3,2009,9,M
2009-10-01,618887,10792,79043,100816,94571,81692,71020,58304,45357,32888,20675,11779,6568,3265,1264,850,3,2009,10,M
2009-11-01,621101,10634,79340,100800,94800,81756,71342,58497,45749,33203,21009,11924,6677,3262,1257,848,3,2009,11,M
2009-12-01,624583,10120,79738,100996,95471,81960,71870,58753,46378,33604,21344,12062,6786,3333,1294,871,3,2009,12,M
2010-01-01,627445,10662,80999,101550,95842,82089,71772,58839,46268,33655,21369,12013,6821,3348,1357,858,3,2010,1,M
2010-02-01,630772,10474,81374,101850,96459,82608,72072,59174,46621,33961,21515,12105,6913,3392,1388,864,2,2010,2,M
2010-03-01,643851,10966,83404,103793,98561,84236,73533,60183,47408,34601,22048,12290,7061,3450,1435,880,2,2010,3,M
2010-04-01,656431,11388,85649,105884,100588,85996,74986,61178,47884,35119,22430,12285,7191,3493,1469,889,2,2010,4,M
2010-05-01,649997,10789,84545,104952,99790,84974,74373,60698,47472,35007,22270,12210,7110,3452,1480,873,2,2010,5,M
2010-06-01,642524,10756,84160,103978,99039,83923,73557,59892,46701,34448,21867,11782,6885,3305,1401,828,2,2010,6,M
2010-07-01,647904,11261,85252,104797,99515,84436,74123,60224,46948,34721,22207,11917,6914,3349,1415,824,1,2010,7,M
2010-08-01,651129,11366,85803,105307,100307,84915,74293,60527,47042,34784,22316,11962,6895,3340,1432,838,2,2010,8,M
2010-09-01,654432,11552,86212,105657,100886,85619,74510,61105,47295,34747,22283,11940,6921,3361,1494,848,2,2010,9,M
2010-10-01,655212,11415,86645,105982,101592,85635,74520,61234,47039,34763,22161,11787,6811,3310,1466,850,2,2010,10,M
2010-11-01,662235,11280,87295,106400,102879,86611,75142,62081,47708,35379,22624,12077,6983,3375,1527,872,2,2010,11,M
2010-12-01,669694,11190,88770,107518,103758,87438,75712,62831,48110,35974,22992,12356,7123,3432,1587,901,2,2010,12,M
2011-01-01,667472,11402,88833,106923,103248,86652,75309,62446,47897,36115,23049,12420,7156,3507,1606,907,2,2011,1,M
2011-02-01,668676,10893,87941,106784,103154,87017,75936,63012,48275,36495,23185,12625,7252,3573,1614,918,2,2011,2,M
2011-03-01,676723,11288,89096,108029,104100,88010,76913,63666,48757,36928,23466,12795,7363,3678,1683,949,2,2011,3,M
2011-04-01,684775,11458,90615,109135,105098,88939,77786,64492,49248,37457,23675,12964,7476,3752,1704,974,2,2011,4,M
2011-05-01,667286,10903,88784,107425,103525,87168,75684,62530,47592,36108,22553,12209,6900,3468,1539,896,2,2011,5,M
2011-06-01,675975,10780,88921,107828,104407,88089,76712,63802,48724,37069,23271,12889,7220,3700,1644,917,2,2011,6,M
2011-07-01,687297,11338,90362,108898,105760,89348,77797,64995,49887,37970,23683,13258,7489,3830,1706,974,2,2011,7,M
2011-08-01,690823,11652,90679,109237,106433,89855,78033,65457,50145,38228,23778,13415,7427,3817,1692,973,2,2011,8,M
2011-09-01,688169,11443,90467,109287,106397,89638,77707,65175,49662,37608,23489,13367,7400,3864,1706,957,2,2011,9,M
2011-10-01,689210,11259,90521,109415,106863,89588,77333,65370,49857,37805,23750,13489,7416,3878,1709,955,2,2011,10,M
2011-11-01,690261,10857,90312,109357,106951,89729,77577,65860,50010,38042,23923,13672,7407,3883,1707,972,2,2011,11,M
2011-12-01,694392,11142,91901,110190,107421,89967,77633,66267,50105,38003,23928,13684,7448,3945,1752,1004,2,2011,12,M
2012-01-01,692728,10936,91991,109767,107375,89421,77134,65950,50051,38009,24052,13812,7470,3994,1759,1005,2,2012,1,M
2012-02-01,693190,10325,91045,109836,107618,89744,77547,66413,50215,38115,24226,13868,7470,3989,1762,1015,2,2012,2,M
2012-03-01,704465,10585,92841,111205,108909,91147,78636,67785,51156,38766,24776,14069,7604,4075,1845,1064,2,2012,3,M
2012-04-01,707895,10564,93394,111825,109268,91795,79047,68227,51365,38819,24907,14181,7553,4059,1828,1061,2,2012,4,M
2012-05-01,711265,10185,93334,112413,109595,91903,79446,68913,51946,39279,25124,14351,7670,4119,1889,1096,2,2012,5,M
2012-06-01,715871,10179,94108,113074,110011,92442,79872,69267,52206,39691,25370,14511,7809,4262,1954,1113,2,2012,6,M
2012-07-01,689025,8838,89125,109145,106110,89210,76996,67080,50590,38527,24588,14098,7608,4115,1909,1084,2,2012,7,M
2012-08-01,712662,10449,93391,112202,109165,92102,79541,69149,52085,39588,25323,14475,7932,4219,1943,1096,2,2012,8,M
2012-09-01,719153,10869,94443,112956,110357,92762,80100,69902,52481,39847,25546,14504,8068,4239,1962,1115,2,2012,9,M
2012-10-01,713973,10467,93446,112060,109784,92177,79393,69476,52241,39601,25427,14486,8093,4248,1956,1116,2,2012,10,M
2012-11-01,719151,10364,94439,112642,110555,92810,79859,69972,52795,39887,25698,14594,8131,4269,1996,1138,2,2012,11,M
2012-12-01,723474,10676,95762,113400,111123,93163,80166,70283,53004,39910,25796,14653,8156,4275,1979,1126,2,2012,12,M
2013-01-01,724531,10028,95521,113480,111216,93301,80361,70545,53402,40296,25961,14722,8252,4329,1987,1128,2,2013,1,M
2013-02-01,728014,10512,96693,114451,111747,93805,80469,70691,53469,40255,25771,14608,8165,4276,1972,1128,2,2013,2,M
2013-03-01,734310,10196,97116,115227,112480,94504,81256,71476,54137,40834,26133,15007,8377,4370,2032,1163,2,2013,3,M
2013-04-01,736518,10157,97205,115424,112458,94919,81360,71765,54676,41098,26271,15143,8400,4397,2060,1183,2,2013,4,M
