Periodo de Cobertura,Total_RC_Tasa_Dependencia,Total_RC_Tasa_Dep_Directa,ARS_AutoGest_Tasa_Dep_Directa,ARS_AutoGest_Tasa_Dependencia,ARS_Priv_Tasa_Dep_Directa,ARS_Priv_Tasa_Dependencia,ARS_Pub_Tasa_Dep_Directa,ARS_Pub_Tasa_Dependencia,Year,Month
2009-04-01,0.823320587643389,0.7946166230629905,1.1986610260810568,1.1159579350667492,0.9111794809600786,0.8827508509439773,0.4761105512200422,0.46703656942045657,2009,4
2009-05-01,0.8388666944985338,0.8076645305200801,1.1932832620166174,1.1106755638010313,0.921451099553259,0.8900462759030529,0.5038106853077979,0.4929230129998038,2009,5
2009-06-01,0.8574567162264287,0.8241837874028534,1.2164450059186902,1.1343194501089238,0.9352315133893598,0.9013911369769891,0.528405859477074,0.5153941927847887,2009,6
2009-07-01,0.8716220869034854,0.8367485465259265,1.2242696673811224,1.1430102405334603,0.9491820487475959,0.9134174654621521,0.5443164937369163,0.5294119881918932,2009,7
2009-08-01,0.8757366613982359,0.8397624211031284,1.2312785748068737,1.1479189657890587,0.9480300798196141,0.911525754683264,0.5592614849196489,0.5423617588397291,2009,8
2009-09-01,0.8870949024246894,0.8494695407053574,1.2376019374289526,1.1544407650867394,0.9560042947880418,0.9175438066942925,0.5800394674835061,0.5615133129123469,2009,9
2009-10-01,0.9058821221708172,0.8666530292373408,1.2665341507335939,1.1837477736339215,0.9687559535149552,0.9284890641540028,0.6085001273800689,0.5882891564485698,2009,10
2009-11-01,0.9196814984808926,0.8789211086231407,1.2692956579219985,1.187160235602869,0.9781439936819708,0.9361762571074278,0.6369575809476,0.6148141859469356,2009,11
2009-12-01,0.9343230190384976,0.8914479595258252,1.2697656374343467,1.187301050453605,0.991853426798333,0.9479539431962312,0.6615745189662634,0.6359511740670917,2009,12
2010-01-01,0.9525793680077929,0.9084131564188093,1.2777151824876263,1.1952637720816064,1.0075496634850796,0.9624424936197556,0.6896286679930713,0.6619249539374726,2010,1
2010-02-01,0.9536270367030019,0.9083610692719374,1.277686752836944,1.1957036227926452,1.0055590703365616,0.9593553814387119,0.7004589800281663,0.6708989149391067,2010,2
2010-03-01,0.9635950803481317,0.9174794211729413,1.2716018139855043,1.1907417905008706,1.0140585881205544,0.9669532597235957,0.7207045381732836,0.6895597176375725,2010,3
2010-04-01,0.9689598884939321,0.9226169523625437,1.26479501986321,1.1956628578449442,1.0186149853432662,0.9702824388591487,0.7330784020660848,0.6999967895782576,2010,4
2010-05-01,0.9856249329854534,0.9358661853533007,1.280517153364518,1.1983706126871347,1.0324043035897217,0.9816263428605141,0.7577989523284194,0.721988484986138,2010,5
2010-06-01,1.00001172134222,0.9481141262009868,1.2846754504125273,1.2018858393668967,1.0445019820335206,0.9916536015262603,0.7800671293412383,0.7415080650480386,2010,6
2010-07-01,1.0048418276738145,0.9507804097151005,1.2922430174417987,1.2030700962855232,1.0465876207022262,0.9926380155091761,0.7937662375256002,0.7513695606550733,2010,7
2010-08-01,1.0166872385104917,0.9611432601830627,1.2989350178569514,1.2098004096910158,1.0554173873995956,1.0002404657329689,0.8163980833877962,0.771165602082709,2010,8
2010-09-01,1.0271810415507663,0.9701611740596706,1.298766864312108,1.2060346309186216,1.063592206200641,1.0075581655275068,0.835967701764708,0.7882422584219778,2010,9
2010-10-01,1.0347804080567309,0.976023272178319,1.3154180954893169,1.2163787039479468,1.0673678693244046,1.01036288345798,0.8517815621536656,0.8014313343426076,2010,10
