Periodo de Cobertura,Year,Month,Cotizante,Total general,Total Región Distrito Nacional,Total 0 - Santo Domingo,Total Región Este,Total V - Este,Total Región Norte,Total II - Norcentral,Total III - Nordeste,Total VII - Cibao Occidental,Total VIII - Cibao Central,Total Región Sur,Total I - Valdesia,Total IV - Enriquillo,Total VI - El Valle
2021-03-01,2021,3,NO,2131398,644162,644162,181672,181672,668532,335417,121992,72487,138636,283881,124412,61546,97923
2021-04-01,2021,4,NO,2135170,647143,647143,181767,181767,665093,335250,121270,71096,137477,281619,121948,61504,98167
2021-05-01,2021,5,NO,2166429,657274,657274,186091,186091,669559,338152,120670,71328,139409,283717,123562,61387,98768
2021-06-01,2021,6,NO,2141047,650929,650929,184028,184028,656665,332693,117925,69856,136191,277709,121293,59742,96674
2021-07-01,2021,7,NO,2183226,660592,660592,188116,188116,665236,337741,119874,70817,136804,281636,122549,60735,98352
2021-08-01,2021,8,NO,2213062,667435,667435,191590,191590,671410,340851,120616,71478,138465,282804,122626,60917,99261
2021-09-01,2021,9,NO,2312829,694909,694909,197660,197660,705077,354098,127688,76081,147210,298752,128619,64828,105305
2021-10-01,2021,10,NO,2225175,668658,668658,191663,191663,667778,339223,120001,70728,137826,281947,121889,60582,99476
2021-11-01,2021,11,NO,2243211,672370,672370,192172,192172,669331,339652,120239,71678,137762,283359,122663,60991,99705
2021-12-01,2021,12,NO,2234993,670384,670384,191463,191463,660915,335921,117447,70909,136638,280644,121111,60157,99376
2022-01-01,2022,1,NO,2247069,671508,671508,191555,191555,663325,336318,119151,70926,136930,281309,121465,60390,99454
2022-02-01,2022,2,NO,2241616,668056,668056,190518,190518,659203,334390,118563,70147,136103,278192,120258,59476,98458
2022-03-01,2022,3,NO,2282575,681152,681152,192960,192960,663950,337457,119297,70348,136848,282895,121947,60771,100177
2022-04-01,2022,4,NO,2283058,681030,681030,191600,191600,663105,336609,118929,70846,136721,282662,121715,60744,100203
2022-05-01,2022,5,NO,2294681,681923,681923,191367,191367,662858,336701,119090,70676,136391,281469,121115,60757,99597
2022-06-01,2022,6,NO,2311188,687390,687390,192080,192080,662592,336394,118911,70953,136334,282012,121360,60959,99693
2022-07-01,2022,7,NO,2318175,690247,690247,191594,191594,660328,335080,118717,70442,136089,281026,121044,60699,99283
2022-08-01,2022,8,NO,2339740,695222,695222,192471,192471,663451,336676,119122,70930,136723,282411,121241,61638,99532
2022-09-01,2022,9,NO,2343126,696508,696508,191779,191779,660465,334750,119262,70763,135690,280751,120667,61119,98965
2022-10-01,2022,10,NO,2351434,699199,699199,190998,190998,658974,333467,118760,70999,135748,280258,120469,60975,98814
2022-11-01,2022,11,NO,2352645,699960,699960,189680,189680,655277,331959,118561,70341,134416,279030,119662,60937,98431
2022-12-01,2022,12,NO,2349571,698028,698028,188523,188523,651259,329783,117952,69641,133883,277411,119010,60685,97716
2023-01-01,2023,1,NO,2363827,703684,703684,188382,188382,651715,329641,118231,70011,133832,279138,119345,61079,98714
2023-02-01,2023,2,NO,2350401,697835,697835,187096,187096,645316,326663,116900,69248,132505,275420,118087,60165,97168
2023-03-01,2023,3,NO,2374802,704825,704825,187785,187785,647739,327611,117508,69460,133160,276509,118266,60637,97606
2023-04-01,2023,4,NO,2331493,695531,695531,185260,185260,627072,320326,109091,67439,130216,271072,114703,59998,96371
2023-05-01,2023,5,NO,2365381,701905,701905,185235,185235,637235,324158,113461,68530,131086,274253,116451,60521,97281
2023-06-01,2023,6,NO,2359216,700847,700847,184774,184774,629729,321468,110833,67486,129942,272428,115310,60066,97052
2023-07-01,2023,7,NO,2360274,700401,700401,184868,184868,627676,320377,110535,67436,129328,271606,114815,60066,96725
2023-08-01,2023,8,NO,2338598,698750,698750,182712,182712,613891,313864,107527,66217,126283,268483,113724,59464,95295
2023-09-01,2023,9,NO,2343244,698169,698169,181622,181622,612758,313195,107604,65855,126104,267728,113315,58955,95458
2023-10-01,2023,10,NO,2349634,699384,699384,180660,180660,609697,311825,106733,65601,125538,268306,113806,59125,95375
2023-11-01,2023,11,NO,2342564,697178,697178,179549,179549,604978,308839,106035,65120,124984,265481,112380,58510,94591
2023-12-01,2023,12,NO,2335559,694770,694770,178305,178305,598478,306015,104621,64178,123664,264609,111906,58184,94519
