Periodo de Cobertura,Year,Month,Cotizante,Total general,Total Región Distrito Nacional,Total 0 - Santo Domingo,Distrito Nacional,Monte Plata,Santo Domingo,Total Región Este,Total V - Este,El Seybo,Hato Mayor del Rey,La Altagracia,La Romana,San Pedro de Macorís,Total Región Norte,Total II - Norcentral,Espaillat,Puerto Plata,Santiago,Total III - Nordeste,Duarte,Hermanas Mirabal,Maria Trinidad Sanchez,Samana,Total VII - Cibao Occidental,Dajabon,Montecristi,Santiago Rodriguez,Valverde,Total VIII - Cibao Central,La vega,Monseñor Nouel,Sanchez Ramirez,Total Región Sur,Total I - Valdesia,Peravia,San Cristóbal,San Jose de Ocoa,Total IV - Enriquillo,Bahoruco,Barahona,Independencia,Pedernales,Total VI - El Valle,Azua,Elias Piña,San Juan de la Maguana,No Especificada
2007-09-01,2007,9,SI,805496,334858,334858,284414,4006,46438,66088,66088,2467,3183,17629,23224,19585,161131,102943,8688,18005,76250,18234,10557,2607,2996,2074,12494,2219,2843,1847,5585,27460,15694,7596,4170,58092,34027,5026,27535,1466,11060,2626,5914,1714,806,13005,4759,1614,6632,185327
2007-10-01,2007,10,SI,903242,362220,362220,306444,6426,49350,71774,71774,3123,4385,18396,24178,21692,191360,113590,10380,20983,82227,25669,13853,4259,4575,2982,17162,3088,4162,2618,7294,34939,18837,9673,6429,73683,39397,5767,31480,2150,15992,3952,8423,2542,1075,18294,6684,2354,9256,204205
2007-11-01,2007,11,SI,915500,362981,362981,307214,6331,49436,72303,72303,3118,4398,18277,24148,22362,194285,115883,10385,21117,84381,25594,13852,4327,4556,2859,17286,3073,4251,2601,7361,35522,19085,9884,6553,74948,40537,5870,32515,2152,16041,3990,8470,2541,1040,18370,6705,2352,9313,210983
2007-12-01,2007,12,SI,941619,371593,371593,313912,6679,51002,73465,73465,3155,4598,18033,24662,23017,197388,115896,10740,21226,83930,26242,14101,4395,4777,2969,17757,3175,4399,2661,7522,37493,20932,9818,6743,76237,41005,5987,32747,2271,16327,4103,8559,2596,1069,18905,6907,2379,9619,222936
2008-01-01,2008,1,SI,939349,369779,369779,312036,6723,51020,75946,75946,3446,4698,19202,25257,23343,198171,116903,10804,21677,84422,26358,14196,4427,4726,3009,17450,3154,4304,2629,7363,37460,20732,9953,6775,76239,41199,6104,32880,2215,16232,4040,8537,2584,1071,18808,6868,2388,9552,219214
2008-02-01,2008,2,SI,932574,367354,367354,310094,6420,50840,76014,76014,3234,4639,19443,25265,23433,195309,114549,10678,21850,82021,26446,14227,4423,4727,3069,17356,3148,4281,2572,7355,36958,20275,9922,6761,75611,40558,5958,32412,2188,16475,4077,8795,2548,1055,18578,6784,2371,9423,218286
2008-03-01,2008,3,SI,951361,370943,370943,313055,6722,51166,76629,76629,3393,4773,19493,25261,23709,200056,117804,10901,22019,84884,26554,14314,4490,4633,3117,17569,3190,4334,2631,7414,38129,21278,10048,6803,77008,41665,6003,33438,2224,16569,4096,8848,2580,1045,18774,6861,2377,9536,226725
2008-04-01,2008,4,SI,969551,370061,370061,312042,6697,51322,77058,77058,3507,4773,19275,25462,24041,201124,118913,11339,22228,85346,26615,14248,4541,4712,3114,17499,3160,4301,2612,7426,38097,21206,10073,6818,76648,41192,5978,32979,2235,16517,4078,8835,2564,1040,18939,6901,2387,9651,244660
2008-05-01,2008,5,SI,962794,369689,369689,311664,6542,51483,77113,77113,3493,4611,19103,25582,24324,200992,119025,11357,22024,85644,26691,14263,4595,4742,3091,17627,3164,4350,2613,7500,37649,20787,9984,6878,76890,41354,6024,33104,2226,16492,4056,8847,2560,1029,19044,6943,2389,9712,238110
2008-06-01,2008,6,SI,982560,375269,375269,315818,6864,52587,76718,76718,3509,4756,18956,25368,24129,203917,120215,11641,21923,86651,26984,14430,4653,4856,3045,17990,3240,4471,2640,7639,38728,21786,10016,6926,78576,42194,6193,33650,2351,16874,4202,9002,2594,1076,19508,7049,2448,10011,248080
