Periodo de Cobertura,Year,Month,Sexo,Cotizante,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y mas,No Especificada,Total Afiliados,0-4,5-9,10-14
2023-04-01,2023,4,F,SI,15347,126522,164065,164062,134613,120559,94713,76230,59844,36492,20442,10524,5148,2601,1710,0.0,1032872.0,,,
2023-05-01,2023,5,F,SI,15184,127740,165190,165775,135502,121731,95308,76949,60263,37026,20901,10824,5472,2729,1798,0.0,1042392.0,,,
2023-06-01,2023,6,F,SI,15323,128537,165811,167024,136413,122390,95789,77290,60515,37427,20933,10941,5534,2751,1844,0.0,1048522.0,,,
2023-07-01,2023,7,F,SI,14502,122783,160187,163186,134129,120842,94715,76599,60145,37193,20686,10707,5446,2719,1793,0.0,1025632.0,,,
2023-08-01,2023,8,F,SI,14774,123038,160202,163310,133966,120555,94762,76509,60088,37340,20521,10624,5326,2586,1719,0.0,1025320.0,,,
2023-09-01,2023,9,F,SI,15063,125122,162953,165728,135135,121533,95441,76785,60375,37565,20616,10664,5364,2593,1720,0.0,1036657.0,,,
2023-10-01,2023,10,F,SI,14924,124038,161979,165879,135349,122000,96164,77060,59980,37165,20080,10640,5399,2585,1737,0.0,1034979.0,,,
2023-11-01,2023,11,F,SI,14772,123955,162471,166658,136034,122236,96512,77214,59998,37195,20019,10542,5261,2553,1680,0.0,1037100.0,,,
2007-10-01,2007,10,M,NO,32811,4763,1937,4142,5567,6379,5797,4755,3195,1743,977,487,248,90,61,,228124.0,46255.0,56124.0,52793.0
2007-11-01,2007,11,M,NO,34589,4890,1979,4176,5738,6538,5943,4941,3332,1856,1062,581,311,133,81,,239314.0,48181.0,59325.0,55658.0
2007-12-01,2007,12,M,NO,36684,3879,2120,4433,6119,6891,6320,5230,3565,2001,1137,628,343,140,84,,252918.0,50791.0,63102.0,59451.0
2008-01-01,2008,1,M,NO,37556,3883,2114,4449,6234,7046,6445,5307,3640,2072,1192,682,387,173,118,,257925.0,51163.0,64515.0,60949.0
2008-02-01,2008,2,M,NO,38674,3805,2206,4657,6454,7313,6641,5454,3780,2198,1339,836,479,224,146,,266391.0,53041.0,66536.0,62608.0
2008-03-01,2008,3,M,NO,39274,3868,2243,4758,6658,7633,6840,5605,3962,2341,1441,930,549,269,159,,271570.0,53660.0,67742.0,63638.0
2008-04-01,2008,4,M,NO,40112,4214,2651,5180,6990,7897,7044,5784,4099,2470,1514,1006,620,308,175,,279983.0,55204.0,69426.0,65289.0
2008-05-01,2008,5,M,NO,41936,4231,2739,5392,7324,8224,7299,5995,4243,2583,1593,1062,675,333,186,,293060.0,57957.0,72952.0,68336.0
2008-06-01,2008,6,M,NO,43285,4373,2845,5672,7650,8652,7808,6449,4574,2803,1717,1116,737,357,208,,304028.0,59631.0,75352.0,70799.0
2008-07-01,2008,7,M,NO,45186,6251,4618,7048,8768,9461,8402,6889,4894,3059,1927,1253,853,408,249,,320500.0,61099.0,77414.0,72721.0
2008-08-01,2008,8,M,NO,44122,5854,4697,7190,8971,9716,8644,7213,5194,3235,2094,1356,919,445,277,,317474.0,60565.0,75951.0,71031.0
2008-09-01,2008,9,M,NO,44717,5816,4639,7279,8995,9828,8854,7336,5305,3337,2149,1384,950,467,278,,320786.0,60846.0,76804.0,71802.0
2008-10-01,2008,10,M,NO,45940,5957,4837,7498,9248,10105,9170,7533,5542,3500,2262,1467,997,493,292,,328026.0,61345.0,78464.0,73376.0
2008-11-01,2008,11,M,NO,46313,5631,4567,7280,9240,10088,9207,7668,5589,3594,2375,1546,1050,536,317,,330133.0,61886.0,79156.0,74090.0
2008-12-01,2008,12,M,NO,47206,5377,4382,7178,9202,9994,9255,7661,5660,3651,2406,1589,1112,575,350,,334429.0,62838.0,80481.0,75512.0
2009-01-01,2009,1,M,NO,48906,5520,4579,7357,9531,10395,9423,7892,5839,3789,2499,1682,1190,607,365,,348233.0,66342.0,83773.0,78544.0
2009-02-01,2009,2,M,NO,49790,5791,5046,8005,10051,10815,9809,8246,6148,3947,2654,1769,1250,639,391,,357791.0,67906.0,85298.0,80236.0
2009-03-01,2009,3,M,NO,50725,6132,5146,8001,10035,10861,9832,8359,6232,4084,2750,1869,1315,700,417,,363869.0,69255.0,86587.0,81569.0
2009-04-01,2009,4,M,NO,52331,5812,4975,7971,10179,11053,10038,8512,6484,4332,3026,2216,1646,945,648,,375469.0,71944.0,89402.0,83955.0
2009-05-01,2009,5,M,NO,52847,5844,5173,8107,10331,11156,10168,8650,6648,4457,3090,2336,1717,1013,698,,379437.0,72671.0,89858.0,84673.0
2009-06-01,2009,6,M,NO,55168,6668,5365,8485,10769,11667,10515,9062,6968,4708,3285,2476,1824,1088,739,,392879.0,75001.0,92114.0,86977.0
2009-07-01,2009,7,M,NO,57103,6866,5604,8794,11012,12021,10884,9275,7238,4972,3449,2622,1918,1139,773,,405696.0,77504.0,94816.0,89706.0
2009-08-01,2009,8,M,NO,59803,7001,5572,8911,11376,12149,11080,9528,7526,5253,3660,2762,1982,1222,799,,422898.0,80928.0,99243.0,94103.0
2009-09-01,2009,9,M,NO,61196,7053,5584,9043,11454,12320,11279,9797,7693,5477,3718,2850,2053,1265,841,,429951.0,82037.0,100597.0,95694.0
2009-10-01,2009,10,M,NO,62443,7280,5659,9344,11829,12679,11638,10084,8053,5674,3811,2953,2145,1305,866,,440519.0,83713.0,102890.0,98153.0
2009-11-01,2009,11,M,NO,63464,7303,5729,9374,11999,12829,11760,10280,8207,5860,3944,3048,2230,1355,894,,448201.0,85717.0,104229.0,99979.0
2009-12-01,2009,12,M,NO,64536,7141,5517,9344,11884,12789,11847,10333,8253,6023,4025,3157,2299,1464,927,,454226.0,87100.0,105769.0,101818.0
2010-01-01,2010,1,M,NO,65969,7214,5685,9715,12270,13158,12156,10535,8498,6204,4103,3300,2340,1514,970,,464138.0,89246.0,107561.0,103700.0
2010-02-01,2010,2,M,NO,66364,7733,5979,10167,12753,13609,12556,10965,8813,6494,4226,3381,2415,1549,998,,469763.0,89471.0,107994.0,104296.0
2010-03-01,2010,3,M,NO,67962,8017,5978,10111,12657,13638,12635,10995,8860,6619,4372,3475,2449,1590,999,,481150.0,93452.0,110578.0,106763.0
2010-04-01,2010,4,M,NO,69080,8020,6075,10297,12903,13919,12841,11245,9089,6802,4431,3547,2437,1607,997,,490428.0,95919.0,112626.0,108593.0
2010-05-01,2010,5,M,NO,69444,8058,6205,10502,13151,14144,13095,11445,9321,7029,4615,3690,2585,1736,1082,,495196.0,96739.0,113205.0,109150.0
2010-06-01,2010,6,M,NO,69850,8483,6721,10945,13436,14506,13231,11593,9486,7208,4769,3819,2690,1800,1124,,499027.0,97216.0,113123.0,109027.0
2010-07-01,2010,7,M,NO,70540,8592,6866,11176,13715,14785,13635,11928,9742,7534,4945,3979,2802,1917,1184,,505771.0,98100.0,114005.0,110326.0
2010-08-01,2010,8,M,NO,71464,8682,6953,11282,14039,15148,13935,12061,9969,7732,5088,4060,2907,1945,1223,,512485.0,98922.0,115300.0,111775.0
2010-09-01,2010,9,M,NO,72716,9073,7343,11638,14458,15500,14337,12411,10578,8133,5334,4223,2980,2030,1286,,522507.0,99890.0,116621.0,113956.0
2010-10-01,2010,10,M,NO,73398,9233,7405,11844,14907,15996,14794,12821,10717,8242,5590,4386,3106,2111,1335,,528599.0,100407.0,117181.0,115126.0
2010-11-01,2010,11,M,NO,74611,9381,7400,11956,14862,16015,14844,12640,10658,8116,5470,4346,3084,2148,1367,,534627.0,102143.0,118640.0,116946.0
2010-12-01,2010,12,M,NO,75583,9314,7264,12161,15055,16276,15056,12798,10751,8314,5600,4433,3138,2216,1415,,540432.0,102910.0,119686.0,118462.0
2011-01-01,2011,1,M,NO,75740,9218,7150,12099,14923,16208,15092,12765,10795,8304,5595,4487,3205,2236,1446,,540529.0,103061.0,119334.0,118871.0
2011-02-01,2011,2,M,NO,76298,9929,7602,12448,15316,16679,15475,13029,11141,8561,5793,4637,3298,2295,1486,,547967.0,104059.0,119960.0,119961.0
2011-03-01,2011,3,M,NO,77090,10029,7716,12518,15334,16884,15632,13304,11369,8827,5949,4784,3403,2349,1571,,554270.0,105294.0,120951.0,121266.0
2011-04-01,2011,4,M,NO,77657,10165,7760,12819,15594,17054,15848,13524,11635,9040,6150,4935,3515,2447,1610,,562452.0,107628.0,122134.0,122937.0
2011-05-01,2011,5,M,NO,76994,10356,8052,12945,15838,17316,16068,13711,11798,9263,6313,5035,3606,2467,1661,,561125.0,107109.0,120814.0,121779.0
2011-06-01,2011,6,M,NO,77946,10354,8122,13050,15875,17302,16115,13832,11885,9369,6445,5134,3664,2512,1693,,568593.0,109063.0,122348.0,123884.0
2011-07-01,2011,7,M,NO,79139,10786,8306,13335,16210,17606,16378,14085,12125,9526,6650,5315,3765,2589,1734,,576475.0,110083.0,123371.0,125472.0
2011-08-01,2011,8,M,NO,80527,11035,8532,13682,16352,17766,16652,14315,12417,9746,6873,5398,3886,2635,1774,,583223.0,110760.0,124145.0,126728.0
2011-09-01,2011,9,M,NO,80848,10866,8165,13479,16426,17749,16761,14482,12850,9890,6995,5458,3917,2636,1790,,585111.0,111353.0,124472.0,126974.0
2011-10-01,2011,10,M,NO,80442,11647,8781,13819,16705,17862,16953,14405,12543,9819,7013,5491,3988,2694,1837,,583831.0,110534.0,123308.0,125990.0
2011-11-01,2011,11,M,NO,80660,11404,8565,13755,16621,17798,17048,14437,12619,10010,7120,5581,4066,2759,1853,,585815.0,111325.0,123638.0,126556.0
2011-12-01,2011,12,M,NO,80324,11281,8477,13543,16695,17759,16901,14433,12568,10047,7186,5539,4127,2757,1861,,585025.0,111275.0,123547.0,126705.0
2012-01-01,2012,1,M,NO,80458,11317,8485,13702,16790,17998,17217,14577,12791,10230,7319,5642,4243,2857,1938,,586906.0,111086.0,123348.0,126908.0
2012-02-01,2012,2,M,NO,80949,11698,8726,14030,17160,18382,17592,14915,13149,10459,7501,5747,4299,2865,1969,,593589.0,112213.0,124001.0,127934.0
2012-03-01,2012,3,M,NO,81854,11930,8942,14183,17205,18432,17800,15085,13154,10596,7730,5864,4426,2951,2022,,602314.0,114792.0,125451.0,129897.0
2012-04-01,2012,4,M,NO,81999,11928,8990,14126,17249,18495,17954,15174,13219,10761,7803,5903,4520,2979,2058,,605495.0,115919.0,125781.0,130637.0
2012-05-01,2012,5,M,NO,82623,12051,8931,14316,17458,18737,18176,15360,13449,10951,7947,5992,4592,3063,2105,,610530.0,116611.0,126450.0,131718.0
2012-06-01,2012,6,M,NO,82785,12230,9248,14533,17628,19035,18451,15603,13589,11137,8107,6134,4649,3104,2143,,616949.0,118339.0,127170.0,133064.0
2012-07-01,2012,7,M,NO,81072,10313,7217,12627,16144,17785,17513,15008,13259,10833,7878,6065,4589,3074,2094,,591401.0,114095.0,122831.0,129004.0
2012-08-01,2012,8,M,NO,84860,12770,9727,14907,17962,19417,18790,15943,13971,11387,8268,6349,4742,3169,2146,,623985.0,118992.0,126791.0,133794.0
2012-09-01,2012,9,M,NO,85956,13164,9963,15224,18314,19801,19128,16340,14237,11613,8390,6543,4851,3188,2195,,632120.0,120175.0,127713.0,135325.0
2012-10-01,2012,10,M,NO,85861,12881,9952,15415,18433,19961,19447,16360,14273,11658,8316,6604,4830,3196,2207,,631650.0,119422.0,127451.0,135383.0
2012-11-01,2012,11,M,NO,85927,12746,9849,15427,18478,20054,19478,16407,14285,11750,8523,6703,4923,3218,2224,,633935.0,119873.0,127893.0,136177.0
2012-12-01,2012,12,M,NO,86139,12870,9941,15542,18774,20220,19599,16383,14308,11775,8515,6775,5009,3219,2204,,637299.0,120819.0,128431.0,136776.0
2013-01-01,2013,1,M,NO,86108,12447,9657,15257,18538,19969,19467,16343,14282,11809,8574,6798,5030,3260,2257,,636602.0,121032.0,128336.0,137438.0
2013-02-01,2013,2,M,NO,85784,12689,9837,15707,18819,20341,19872,16678,14564,12037,8772,6957,5141,3318,2313,,642443.0,122403.0,128946.0,138265.0
2013-03-01,2013,3,M,NO,86462,13101,10063,15791,18857,20414,20031,16891,14837,12208,8914,7112,5252,3431,2416,,648491.0,123797.0,129607.0,139307.0
2013-04-01,2013,4,M,NO,86991,12896,10069,15813,18963,20485,20150,17015,14969,12306,9026,7205,5343,3469,2461,,651401.0,123760.0,130211.0,140269.0
2013-05-01,2013,5,M,NO,87803,13118,10353,16011,19186,20783,20480,17290,15230,12536,9292,7290,5468,3513,2531,,659382.0,125151.0,131545.0,141802.0
2013-06-01,2013,6,M,NO,88461,13582,10809,16348,19715,21188,20722,17621,15585,12748,9456,7423,5552,3583,2588,,668335.0,126408.0,133057.0,143489.0
2013-07-01,2013,7,M,NO,88188,13722,10838,16558,19753,21316,20744,17847,15748,12887,9631,7523,5600,3634,2623,,668369.0,125944.0,132496.0,143317.0
2013-08-01,2013,8,M,NO,90291,13739,10949,16667,19902,21589,20982,18095,15844,13077,9786,7573,5632,3602,2599,,676661.0,127499.0,134212.0,144623.0
2013-09-01,2013,9,M,NO,90473,13953,10901,16679,20095,21703,21022,18225,16172,13214,9938,7669,5705,3630,2638,,679506.0,128070.0,134633.0,144786.0
2013-10-01,2013,10,M,NO,91085,14044,10948,16783,20217,21937,21210,18350,16161,13379,10019,7754,5741,3654,2665,,680689.0,126572.0,134819.0,145351.0
2013-11-01,2013,11,M,NO,92415,13784,10896,16678,20226,21965,21271,18566,16295,13502,10203,7829,5838,3682,2739,,689076.0,129795.0,136384.0,147008.0
2013-12-01,2013,12,M,NO,93072,13795,10932,16686,20355,22064,21391,18688,16372,13617,10310,7876,5897,3716,2765,,692261.0,130479.0,137039.0,147207.0
2014-01-01,2014,1,M,NO,92830,13571,10843,16703,20478,22130,21298,18663,16317,13651,10279,7841,5805,3673,2749,,691961.0,130806.0,137146.0,147178.0
2014-02-01,2014,2,M,NO,92604,13809,11195,16933,20590,22268,21476,18869,16378,13789,10365,7889,5826,3648,2730,,695147.0,131927.0,137700.0,147151.0
2014-03-01,2014,3,M,NO,93509,14551,11653,17271,20864,22548,21750,19108,16711,14030,10664,8114,6066,3772,2900,,703286.0,132988.0,138633.0,148154.0
2014-04-01,2014,4,M,NO,94782,13856,11177,16858,20805,22555,21794,19228,16843,14195,10791,8201,6132,3855,2932,,708117.0,134268.0,139953.0,149892.0
2014-05-01,2014,5,M,NO,95876,14515,11674,17382,21162,22904,22160,19609,17097,14452,10996,8315,6190,3913,3007,,718777.0,136804.0,141450.0,151271.0
2014-06-01,2014,6,M,NO,96791,14802,11847,17570,21454,23124,22327,19821,17277,14610,11201,8425,6276,3957,3064,,725165.0,138120.0,142441.0,152058.0
2014-07-01,2014,7,M,NO,96914,14799,12126,17750,21553,23160,22540,19996,17437,14705,11408,8447,6282,3945,3012,,727815.0,138435.0,143127.0,152179.0
2014-08-01,2014,8,M,NO,98319,15054,12469,18182,22046,23544,22954,20258,17661,14956,11670,8583,6373,4039,3062,,736353.0,138590.0,144918.0,153675.0
2014-09-01,2014,9,M,NO,99503,15482,12549,17996,22045,23573,22974,20331,17776,14996,11788,8688,6457,4078,3136,,739630.0,138691.0,145679.0,153888.0
2014-10-01,2014,10,M,NO,100669,15889,12696,18145,22294,23855,23238,20530,18000,15142,11973,8764,6550,4125,3186,,745605.0,138702.0,147012.0,154835.0
2014-11-01,2014,11,M,NO,101184,15772,12779,18330,22358,23975,23349,20647,18252,15407,12186,8841,6636,4161,3229,,748685.0,138030.0,148038.0,155511.0
2014-12-01,2014,12,M,NO,101579,15635,12679,18198,22378,23922,23320,20670,18256,15459,12303,8850,6714,4176,3250,,751808.0,140463.0,148799.0,155157.0
2015-01-01,2015,1,M,NO,101132,16556,13666,18321,22395,23924,23416,20738,18342,15657,12732,9182,7173,4508,3516,,755578.0,140165.0,149234.0,154921.0
2015-02-01,2015,2,M,NO,101084,16951,14269,18631,22558,24146,23650,20873,18543,15944,12930,9388,7317,4689,3639,,759087.0,140288.0,149408.0,154779.0
2015-03-01,2015,3,M,NO,103419,17435,14633,18851,22925,24267,23938,21100,18716,16193,13186,9524,7425,4742,3761,,771326.0,143213.0,151356.0,156642.0
2015-04-01,2015,4,M,NO,104353,17066,14438,18761,22915,24431,24173,21321,18835,16362,13441,9589,7528,4794,3856,,777028.0,145147.0,152326.0,157692.0
2015-05-01,2015,5,M,NO,105397,17754,15091,19161,23276,24795,24576,21555,19068,16645,13641,9585,7564,4830,3967,,785027.0,146374.0,153347.0,158401.0
2015-06-01,2015,6,M,NO,105975,17767,15188,19253,23428,24825,24757,21751,19143,16756,13717,9612,7589,4848,3989,,787651.0,146751.0,153662.0,158640.0
2015-07-01,2015,7,M,NO,106134,17920,15307,19339,23602,24989,24802,21950,19244,16874,13896,9655,7621,4896,4028,,787892.0,145586.0,153609.0,158440.0
2015-08-01,2015,8,M,NO,106699,17919,15567,19549,23702,25090,24995,22254,19503,16963,14089,9749,7635,4872,4077,,793281.0,148168.0,153997.0,158453.0
2015-09-01,2015,9,M,NO,108466,18379,15807,19803,23850,25105,24911,22270,19436,17025,14053,9781,7678,4870,4115,,794916.0,147799.0,153763.0,157805.0
2015-10-01,2015,10,M,NO,110137,18608,15811,19707,23987,25342,25036,22422,19625,17353,14270,9909,7736,4911,4183,,801182.0,148107.0,155182.0,158856.0
2015-11-01,2015,11,M,NO,110289,18235,15702,19728,23980,25191,25100,22592,19601,17418,14395,9958,7730,4965,4221,,803454.0,149106.0,156129.0,159114.0
2015-12-01,2015,12,M,NO,110132,18233,15766,19652,23942,25287,25095,22667,19575,17397,14412,10036,7736,4974,4262,,797783.0,145428.0,155244.0,157945.0
2016-01-01,2016,1,M,NO,111080,18048,15819,19575,23874,25172,25177,22785,19586,17585,14436,10091,7807,5020,4313,,805534.0,149282.0,157049.0,158835.0
2016-02-01,2016,2,M,NO,111365,18641,16364,20122,24434,25592,25739,23083,19808,17887,14597,10237,7814,5043,4324,,813083.0,151148.0,157950.0,158935.0
2016-03-01,2016,3,M,NO,113974,18799,16241,19826,24014,25154,25476,23075,19867,17912,14672,10309,7858,5074,4356,,825251.0,154854.0,161746.0,162044.0
2016-04-01,2016,4,M,NO,114788,19107,16558,20179,24288,25430,25680,23251,20008,18179,14816,10405,7911,5126,4388,,829784.0,155477.0,162339.0,161854.0
2016-05-01,2016,5,M,NO,116099,18764,16229,19881,24159,25361,25639,23254,20090,18194,14887,10506,7975,5146,4444,,836672.0,158692.0,164315.0,163037.0
2016-06-01,2016,6,M,NO,115604,19154,16628,20096,24397,25559,25789,23428,20300,18379,15072,10678,8057,5219,4489,,838362.0,157512.0,165010.0,162991.0
2016-07-01,2016,7,M,NO,116312,19233,16856,20358,24593,25842,26051,23779,20630,18694,15270,10907,8204,5302,4585,,849661.0,161618.0,167178.0,164249.0
2016-08-01,2016,8,M,NO,117992,19540,17138,20765,24886,25973,26122,23966,20709,18860,15318,11054,8208,5393,4584,,851353.0,159237.0,167703.0,163905.0
2016-09-01,2016,9,M,NO,119593,19859,17215,20649,24984,26251,26437,24218,20976,19135,15429,11255,8197,5430,4592,,860460.0,160882.0,170186.0,165172.0
2016-10-01,2016,10,M,NO,119937,20126,17481,20902,25202,26387,26599,24463,21146,19303,15584,11409,8182,5510,4587,,863660.0,160709.0,170717.0,165416.0
2016-11-01,2016,11,M,NO,119623,19997,17289,20525,24957,26221,26266,24484,21057,19396,15907,11515,8201,5492,4557,,860812.0,160373.0,170405.0,164547.0
2016-12-01,2016,12,M,NO,120138,19664,17127,20403,25007,26287,26233,24448,21044,19209,15767,11496,8192,5473,4529,,863026.0,161134.0,171692.0,165183.0
2017-01-01,2017,1,M,NO,119708,19588,17025,20220,24789,26028,26083,24381,20978,19082,15664,11464,8134,5506,4580,,860320.0,159974.0,171851.0,165265.0
2017-02-01,2017,2,M,NO,120855,20011,17740,20749,25226,26720,26945,25277,21288,19261,15815,11594,8160,5560,4584,,873615.0,162718.0,174230.0,166882.0
2017-03-01,2017,3,M,NO,121853,20382,18009,20926,25356,26464,26463,25028,21383,19340,15978,11778,8211,5611,4602,,879425.0,164078.0,175936.0,168027.0
2017-04-01,2017,4,M,NO,123637,20139,17723,20561,24872,26022,26165,24916,21285,19471,16040,11929,8311,5710,4703,,886725.0,166680.0,178698.0,169863.0
2017-05-01,2017,5,M,NO,125520,20280,17956,20858,25113,26214,26433,25200,21533,19625,16302,12149,8418,5888,4829,,897731.0,168781.0,180933.0,171699.0
2017-06-01,2017,6,M,NO,126842,20324,17828,20903,25147,26138,26537,25298,21587,19759,16267,12056,8445,5845,4817,,904500.0,170403.0,183018.0,173286.0
2017-07-01,2017,7,M,NO,128346,20918,18184,21449,25508,26457,26716,25610,21759,19917,16448,12123,8510,5874,4841,,914416.0,172246.0,185184.0,174326.0
2017-08-01,2017,8,M,NO,129100,20579,18337,21559,25894,26897,27148,26005,22392,20267,16696,12143,8623,5855,4837,,917839.0,172014.0,185616.0,173877.0
2017-09-01,2017,9,M,NO,129723,20912,18667,21506,26464,26709,27070,25896,22061,20066,16628,12140,8708,5895,4885,,920033.0,172098.0,186905.0,173700.0
2017-10-01,2017,10,M,NO,130473,20804,18301,21320,25727,26485,26959,25828,21976,20092,16700,12175,8863,5986,4938,,919058.0,171736.0,187049.0,173646.0
2017-11-01,2017,11,M,NO,130989,20626,18387,21402,26041,26641,27251,26213,22467,20545,17042,12400,9004,6036,4968,,925968.0,173294.0,188465.0,174197.0
2017-12-01,2017,12,M,NO,131583,20704,18544,21588,26236,26770,27400,26325,22416,20398,17042,12484,9152,6095,5021,,931497.0,174656.0,190114.0,174969.0
2018-01-01,2018,1,M,NO,132380,20522,18283,21467,26040,26827,27349,26315,22438,20410,17003,12534,9168,6138,5079,,933240.0,174885.0,190900.0,175502.0
2018-02-01,2018,2,M,NO,132575,20796,18712,21741,26187,27093,27390,26462,22662,20554,17159,12645,9216,6098,5075,,938523.0,176627.0,191904.0,175627.0
2018-03-01,2018,3,M,NO,133412,18905,16791,20261,25130,26342,26758,26257,22601,20479,17128,12680,9279,6143,5152,,929777.0,174934.0,192064.0,175461.0
2018-04-01,2018,4,M,NO,136275,21203,19082,22043,26486,27426,27724,26903,23126,21049,17536,12950,9416,6248,5253,,956118.0,180309.0,195277.0,177812.0
2018-05-01,2018,5,M,NO,137188,21061,19150,22018,26522,27402,27787,27195,23388,21266,17595,13080,9417,6335,5244,,959629.0,180961.0,196040.0,177980.0
2018-06-01,2018,6,M,NO,138115,21493,19648,22379,26905,27726,28027,27183,23509,21465,17717,13249,9468,6347,5287,,968746.0,183459.0,197454.0,179315.0
2018-07-01,2018,7,M,NO,139268,21761,20116,22795,27167,27877,28431,27359,23842,21579,17911,13464,9576,6391,5332,,976001.0,184367.0,198827.0,179938.0
2018-08-01,2018,8,M,NO,138581,19231,17500,21000,25668,26817,27680,26859,23510,21413,17818,13488,9520,6400,5348,,961549.0,183099.0,197900.0,179717.0
2018-09-01,2018,9,M,NO,140091,21930,20328,22977,28066,28159,28674,27596,24153,21999,18172,13773,9671,6468,5449,,983893.0,184782.0,200009.0,181596.0
2018-10-01,2018,10,M,NO,141851,21948,20158,23110,27400,28199,28731,27619,24168,21933,18271,13901,9711,6492,5469,,988540.0,184662.0,201521.0,183396.0
2018-11-01,2018,11,M,NO,142436,21768,20273,23310,27471,28496,28858,27889,24440,22255,18422,14082,9813,6563,5511,,997168.0,186629.0,203761.0,185191.0
2018-12-01,2018,12,M,NO,142539,21790,20199,23343,27477,28513,28866,28042,24613,22315,18662,14221,9882,6632,5535,,1000103.0,186797.0,204754.0,185923.0
2019-01-01,2019,1,M,NO,142291,21761,20165,23344,27262,28442,28850,28005,24594,22290,18723,14269,9925,6627,5547,,999322.0,185942.0,205111.0,186174.0
2019-02-01,2019,2,M,NO,142282,22194,20608,23788,27490,28773,29163,28344,24883,22580,19017,14477,10063,6655,5591,,1006102.0,187004.0,206104.0,187086.0
2019-03-01,2019,3,M,NO,143278,23069,21392,24323,27970,29150,29463,28553,25145,22699,19167,14541,10120,6755,5637,,1014560.0,187603.0,207563.0,188132.0
2019-04-01,2019,4,M,NO,143725,22535,20850,24062,27849,29053,29462,28484,25229,22794,19360,14689,10192,6764,5748,,1016379.0,188635.0,208464.0,188484.0
2019-05-01,2019,5,M,NO,144210,22450,20921,24026,27647,29002,29481,28511,25370,22838,19502,14832,10283,6818,5823,,1013348.0,185992.0,207849.0,187793.0
2019-06-01,2019,6,M,NO,142673,22828,21087,24352,27955,29284,29557,28711,25638,22999,19600,15018,10282,6834,5815,,1016771.0,187258.0,208736.0,188144.0
2019-07-01,2019,7,M,NO,143505,23285,21305,24559,28575,29343,29678,28702,25609,23030,19652,15175,10271,6881,5835,,1022201.0,188247.0,209561.0,188988.0
2019-08-01,2019,8,M,NO,144031,23064,21585,24940,29027,29723,29995,29343,25706,23066,19773,15266,10355,6939,5894,,1027943.0,189136.0,210175.0,189925.0
2019-09-01,2019,9,M,NO,144918,23688,21618,25098,28388,29837,29962,28792,25661,23132,19774,15329,10361,6974,5899,,1031259.0,189417.0,211088.0,191323.0
2019-10-01,2019,10,M,NO,144659,23817,21615,25094,28345,29875,29870,28811,25706,23311,19902,15455,10414,7009,5920,,1031535.0,188367.0,211478.0,191887.0
2019-11-01,2019,11,M,NO,144607,23705,21414,25078,28417,29924,29918,29038,25848,23421,19885,15619,10459,7053,5960,,1035195.0,189479.0,212320.0,193050.0
2019-12-01,2019,12,M,NO,141780,24006,21938,25677,28780,30378,30288,29472,26261,23762,20129,15871,10539,7088,5955,,1027763.0,186861.0,208527.0,190451.0
2020-01-01,2020,1,M,NO,142171,23658,20994,25098,28068,30165,30123,29301,25988,23647,19909,15772,10376,7101,6045,,1028769.0,187580.0,209958.0,192815.0
2020-02-01,2020,2,M,NO,141794,23901,21243,25342,28200,30125,29783,29034,26016,23624,20059,15863,10322,7037,6049,,1030531.0,188434.0,210298.0,193407.0
2020-03-01,2020,3,M,NO,142525,24770,21573,25480,28236,30037,29810,29154,25912,23563,20020,15912,10283,7022,6065,,1035448.0,189939.0,210832.0,194315.0
2020-04-01,2020,4,M,NO,135444,24524,21090,24673,27171,29066,28636,28035,24836,22412,18966,15039,9624,6563,5763,,977748.0,175777.0,197642.0,182487.0
2020-05-01,2020,5,M,NO,143165,58053,62533,60677,58654,56366,50911,45562,36426,29395,23386,17525,10754,7260,6199,,1224391.0,174411.0,199005.0,184109.0
2020-06-01,2020,6,M,NO,147899,60804,64921,62887,60079,57373,52081,46951,38148,31004,24780,18632,11456,7679,6686,,1261710.0,177578.0,204223.0,188529.0
2020-07-01,2020,7,M,NO,149006,47058,47302,48074,47454,46482,43166,39931,33609,28267,23207,17931,11120,7481,6581,,1171390.0,178676.0,205970.0,190075.0
2020-08-01,2020,8,M,NO,149268,40050,37749,40137,40937,41249,39050,36900,31610,26872,22462,17458,10909,7332,6503,,1116779.0,176092.0,204065.0,188136.0
2020-09-01,2020,9,M,NO,150894,41257,38144,40614,41139,41746,39272,36955,31939,27157,22706,17597,11077,7409,6508,,1120871.0,175019.0,203855.0,187583.0
2020-10-01,2020,10,M,NO,154009,38387,33883,37646,38898,40263,38311,36523,32234,27415,22955,17685,11085,7420,6484,,1113852.0,176091.0,205132.0,189431.0
2020-11-01,2020,11,M,NO,153441,37387,32162,35968,37255,38745,37141,35315,31264,26456,22318,17214,10864,7242,6340,,1092675.0,174102.0,202476.0,186985.0
2020-12-01,2020,12,M,NO,157550,37724,31847,36076,37115,38746,37211,35437,31442,26615,22556,17536,11038,7318,6479,,1108132.0,176843.0,206337.0,190262.0
2021-01-01,2021,1,M,NO,154176,33494,27040,31947,33933,36114,35166,34231,30318,25273,21498,16509,10416,6892,6015,,1062613.0,172065.0,201304.0,186222.0
