Periodo de Cobertura,Total_Capitas_Dispersadas,Total_Capitas_Dispersada_mes,Total_Capitas_Dispersada_posterior,Titulares_Total_capitas,Titulares_Dispersadas_mes_capitas,Titulares_Dispersadas_posterior_capitas,Dependientes_Total_capitas,Dependientes_Dispersadas_mes_capitas,Dependientess_Dispersadas_posterior_capitas,Adicionales_Total_capitas,Adicionales_Dispersadas_mes_capitas,Adicionales_Dispersadas_posterior_capitas,Year,Month,Total_Monto_Dispersadas,Total_Monto_Dispersada_mes,Total_Monto_Dispersada_posterior,Titulares_Total_monto,Titulares_Dispersadas_mes_monto,Titulares_Dispersadas_posterior_monto,Dependientes_Total_monto,Dependientes_Dispersadas_mes_monto,Dependientess_Dispersadas_posterior_monto,Adicionales_Total_monto,Adicionales_Dispersadas_mes_monto,Adicionales_Dispersadas_posterior_monto
2022-03-01,4465896,4398255,67641,2016453,1987940,28513,2207700,2169781,37919,241743,240534,1209,2022,3,5929861308,5840046966,89814342,2677466429,2639606610,37859819,2931406116,2881056908,50349208,320988763,319383448,1605315
2022-04-01,4500906,4408871,92035,2035913,1998144,37769,2221988,2169255,52733,243005,241472,1533,2022,4,5976347944,5854142998,122204946,2703305618,2653155584,50150034,2950377867,2880358480,70019387,322664459,320628934,2035525
2022-05-01,4507646,4427018,80628,2039916,2003870,36046,2224243,2181287,42956,243487,241861,1626,2022,5,5985297378,5878238765,107058613,2708620841,2660758623,47862218,2953372078,2896334689,57037389,323304459,321145453,2159006
2022-06-01,4536038,4463544,72494,2054575,2022844,31731,2236745,2197301,39444,244718,243399,1319,2022,6,6022996563,5926738354,96258209,2728085206,2685952490,42132716,2969972362,2917598239,52374123,324938995,323187625,1751370
2022-07-01,4563112,4485090,78022,2069206,2033989,35217,2248311,2206758,41553,245595,244343,1252,2022,7,6058945698,5955347349,103598349,2747512399,2700750933,46761466,2985329810,2930155339,55174471,326103489,324441077,1662412
2022-08-01,4591168,4520183,70985,2082081,2050852,31229,2263070,2224454,38616,246017,244877,1140,2022,8,6097889752,6001944185,95945567,2765261395,2723141793,42119602,3005964536,2953652265,52312271,326663821,325150127,1513694
2022-09-01,4609421,4529781,79640,2090570,2055295,35275,2271300,2228458,42842,247551,246028,1523,2022,9,6133115989,6014688505,118427484,2781605927,2729041252,52564675,3022809381,2958968816,63840565,328700681,326678437,2022244
2022-10-01,4626113,4546118,79995,2100374,2064713,35661,2278897,2235831,43066,246842,245574,1268,2022,10,6853486127,6734488245,118997882,3129851297,3076711428,53139869,3395875563,3331701205,64174358,327759267,326075612,1683655
2022-11-01,4637566,4558438,79128,2107074,2072394,34680,2282992,2239967,43025,247500,246077,1423,2022,11,6910622556,6792710797,117911759,3139835234,3088157194,51678040,3401977682,3337864424,64113258,368809640,366689179,2120461
2022-12-01,4652852,4568910,83942,2118748,2080797,37951,2286092,2241626,44466,248012,246487,1525,2022,12,6933400844,6808315542,125085302,3157231131,3100678840,56552291,3406597120,3340336566,66260554,369572593,367300136,2272457
2023-01-01,4651325,4561524,89801,2120693,2079891,40802,2283042,2235636,47406,247590,245997,1593,2023,1,6931125395,6797309370,133816025,3160129451,3099328774,60800677,3402052192,3331410628,70641564,368943752,366569968,2373784
2023-02-01,4662066,4562245,99821,2126358,2080391,45967,2287507,2235631,51876,248201,246223,1978,2023,2,7234032220,7078925191,155107029,3306784368,3235299259,71485109,3557393622,3476719192,80674430,369854230,366906740,2947490
2023-03-01,4683172,4615351,67821,2136435,2106244,30191,2297947,2261417,36530,248790,247690,1100,2023,3,7266816715,7161417100,105399615,3322455512,3275504293,46951219,3573629281,3516820032,56809249,370731922,369092775,1639147
2023-04-01,4642433,4549884,92549,2124420,2081200,43220,2268414,2220736,47678,249599,247948,1651,2023,4,7219633227,7075706600,143926627,3303770507,3236557367,67213140,3527701338,3453555382,74145956,388161382,385593851,2567531
2023-05-01,4674703,4597987,76716,2137896,2102234,35662,2287997,2248278,39719,248810,247475,1335,2023,5,7269817591,7150513498,119304093,3324727573,3269268181,55459392,3558155644,3496387048,61768596,386934374,384858269,2076105
2023-06-01,4678373,4601382,76991,2140018,2104833,35185,2288350,2248069,40281,250005,248480,1525,2023,6,7275524957,7155793199,119731758,3328027582,3273309990,54717592,3558704606,3496062023,62642583,388792769,386421186,2371583
2023-07-01,4662212,4573366,88846,2131877,2090347,41530,2279761,2234225,45536,250574,248794,1780,2023,7,7250392346,7112224399,138167947,3315367190,3250782233,64584957,3545347512,3474532666,70814846,389677644,386909500,2768144
2023-08-01,4632452,4552390,80062,2118107,2082028,36079,2263243,2220915,42328,251102,249447,1655,2023,8,7204111381,7079603779,124507602,3293952912,3237845023,56107889,3519659712,3453833751,65825961,390498757,387925005,2573752
2023-09-01,4650179,4568370,81809,2124818,2087964,36854,2273412,2230038,43374,251949,250368,1581,2023,9,7231679352,7104454916,127224436,3304389457,3247076333,57313124,3535473932,3468021293,67452639,391815963,389357290,2458673
2023-10-01,4654760,4580047,74713,2129131,2095077,34054,2273805,2234650,39155,251824,250320,1504,2023,10,7238803454,7122614287,116189167,3311096779,3258138044,52958735,3536085103,3475193600,60891503,391621572,389282643,2338929
2023-11-01,4645963,4579244,66719,2126221,2095153,31068,2266926,2232791,34135,252816,251300,1516,2023,11,7233474091,7121365509,112108582,3310550513,3258256235,52294278,3529759307,3472302594,57456713,393164271,390806680,2357591
2023-12-01,4577068,4577068,0,2097791,2097791,0,2226907,2226907,0,252370,252370,0,2023,12,7127337767,7127337767,0,3266947928,3266947928,0,3467919160,3467919160,0,392470679,392470679,0
