Periodo de Cobertura,Ingresos en Salud,Gasto en Salud,Porcentaje (%) de Siniestralidad,Year,Month
2007-09-01,407733321.0,293418248.0,71.96327425003363,2007,9
2007-10-01,556064399.0,380970924.0,68.51201491861737,2007,10
2007-11-01,698901466.0,568170160.0,81.29474434383287,2007,11
2007-12-01,718962558.0,477207993.0,66.37452641866226,2007,12
2008-01-01,933393262.0,577819533.0,61.9052607859944,2008,1
2008-02-01,942198350.0,636056642.0,67.50772191439309,2008,2
2008-03-01,970658982.0,788949494.0,81.27978091485893,2008,3
2008-04-01,983425045.0,749764796.0,76.24015676761618,2008,4
2008-05-01,1012829618.0,723354902.0,71.41920903027936,2008,5
2008-06-01,1056667492.0,795717166.0,75.30440484110208,2008,6
2008-07-01,1036143704.0,827100576.0,79.82489038991449,2008,7
2008-08-01,1042300989.0,907621596.0,87.07864672284217,2008,8
2008-09-01,1062266235.0,912992187.0,85.94758610585038,2008,9
2008-10-01,1076675706.0,1012671821.0,94.05541662700058,2008,10
2008-11-01,1069608680.0,956697236.0,89.44366794031626,2008,11
2008-12-01,1072390826.0,980524767.0,91.43352807831647,2008,12
2009-01-01,1108460077.0,926473434.0,83.58202999132462,2009,1
2009-02-01,1120941898.0,1024393354.0,91.38683778594918,2009,2
2009-03-01,1131417762.0,1063238579.0,93.97400453750345,2009,3
2009-04-01,1148049008.0,1064765503.0,92.74564897320133,2009,4
2009-05-01,1241380738.0,1158755321.0,93.34407128524334,2009,5
2009-06-01,1193423657.0,1133662543.0,94.99246444047992,2009,6
2009-07-01,1192750232.0,1202227368.0,100.79456165639212,2009,7
2009-08-01,1263845939.0,1138072537.0,90.04835968381428,2009,8
2009-09-01,1378195587.0,1220170107.0,88.53388579309099,2009,9
2009-10-01,1458926583.0,1198002451.0,82.11533499763503,2009,10
2009-11-01,1401359754.0,1187539561.0,84.74194849754475,2009,11
2009-12-01,1586898434.0,1217888603.0,76.74647456360147,2009,12
2010-01-01,1594317050.1200001,1271728599.99,79.76635512329749,2010,1
2010-02-01,1659499929.9600003,1338578764.72,80.66157404129956,2010,2
2010-03-01,1632346061.1400003,2419651025.6999993,148.2314984121786,2010,3
